Feature,Importance
INF_avg,0.16655408367288926
SUP_avg,0.15576008126384466
INF_sd,0.09572183372146785
INF_r1,0.06741927996937197
INC_avg,0.06124484938136306
IND_avg,0.059017713560577195
INC_sk,0.0427864364521806
IND_sd,0.04239189818205639
INF_sk,0.04050497576163436
SUP_sk,0.03535912350453312
INC_sd,0.03496768351406196
IND_r1,0.033756196911450105
SUP_r1,0.03261668499113667
SUP_sd,0.025160160540918308
INC_r1,0.022987409364470558
IND_sk,0.020528919438052684
INF_kr,0.019293200182815905
IND_kr,0.016165186325246612
INC_kr,0.01595678533315011
SUP_kr,0.011807497928778483
