Feature,Importance
INF_kr,0.13271657048358135
INC_avg,0.10667379371844604
IND_sk,0.07876648419331513
INF_r1,0.0691522412636821
IND_sd,0.06657203227361402
INF_sd,0.06053095395613625
IND_r1,0.055827448798357826
SUP_sd,0.048159958851013374
INC_r1,0.045231176113772
SUP_sk,0.037985125157011856
IND_kr,0.035406970997131464
INC_kr,0.03290397089659544
SUP_kr,0.03256885576091567
SUP_r1,0.03181874886301446
INC_sk,0.03069518767388204
INF_avg,0.029998325976943407
SUP_avg,0.028382158562516135
INC_sd,0.0258052929915681
IND_avg,0.025680843028433924
INF_sk,0.025123860440069513
