Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 302 | GridSize: 11
Generation 2 | Revalues: 520 | GridSize: 7
Generation 3 | Revalues: 722 | GridSize: 6
Generation 4 | Revalues: 936 | GridSize: 10
Generation 5 | Revalues: 1174 | GridSize: 20
Generation 6 | Revalues: 1412 | GridSize: 19
Generation 7 | Revalues: 1640 | GridSize: 12
Generation 8 | Revalues: 1860 | GridSize: 20
Generation 9 | Revalues: 2078 | GridSize: 22
Generation 10 | Revalues: 2294 | GridSize: 25
Generation 11 | Revalues: 2498 | GridSize: 20
Generation 12 | Revalues: 2724 | GridSize: 25
Generation 13 | Revalues: 2932 | GridSize: 26
Generation 14 | Revalues: 3156 | GridSize: 27
Generation 15 | Revalues: 3378 | GridSize: 35
Generation 16 | Revalues: 3610 | GridSize: 32
Generation 17 | Revalues: 3842 | GridSize: 31
Generation 18 | Revalues: 4048 | GridSize: 26
Generation 19 | Revalues: 4238 | GridSize: 29
Generation 20 | Revalues: 4452 | GridSize: 27
Generation 21 | Revalues: 4658 | GridSize: 29
Generation 22 | Revalues: 4868 | GridSize: 30
Generation 23 | Revalues: 5080 | GridSize: 30
Generation 24 | Revalues: 5298 | GridSize: 38
Generation 25 | Revalues: 5542 | GridSize: 34
Generation 26 | Revalues: 5738 | GridSize: 34
Generation 27 | Revalues: 5954 | GridSize: 43
Generation 28 | Revalues: 6174 | GridSize: 46
Generation 29 | Revalues: 6384 | GridSize: 41
Generation 30 | Revalues: 6616 | GridSize: 43
Generation 31 | Revalues: 6858 | GridSize: 40
Generation 32 | Revalues: 7078 | GridSize: 35
Generation 33 | Revalues: 7310 | GridSize: 27
Generation 34 | Revalues: 7528 | GridSize: 30
Generation 35 | Revalues: 7750 | GridSize: 31
Generation 36 | Revalues: 7994 | GridSize: 37
Generation 37 | Revalues: 8244 | GridSize: 45
Generation 38 | Revalues: 8462 | GridSize: 39
Generation 39 | Revalues: 8678 | GridSize: 35
Generation 40 | Revalues: 8908 | GridSize: 34
Generation 41 | Revalues: 9134 | GridSize: 38
Generation 42 | Revalues: 9346 | GridSize: 37
Generation 43 | Revalues: 9542 | GridSize: 36
Generation 44 | Revalues: 9768 | GridSize: 33
Generation 45 | Revalues: 9970 | GridSize: 36
Generation 46 | Revalues: 10176 | GridSize: 34
Generation 47 | Revalues: 10404 | GridSize: 42
Generation 48 | Revalues: 10632 | GridSize: 36
Generation 49 | Revalues: 10852 | GridSize: 40
Generation 50 | Revalues: 11086 | GridSize: 40
Generation 51 | Revalues: 11312 | GridSize: 37
Generation 52 | Revalues: 11542 | GridSize: 43
Generation 53 | Revalues: 11770 | GridSize: 38
Generation 54 | Revalues: 11994 | GridSize: 36
Generation 55 | Revalues: 12200 | GridSize: 43
Generation 56 | Revalues: 12414 | GridSize: 45
Generation 57 | Revalues: 12640 | GridSize: 47
Generation 58 | Revalues: 12860 | GridSize: 42
Generation 59 | Revalues: 13070 | GridSize: 46
Generation 60 | Revalues: 13306 | GridSize: 49
Generation 61 | Revalues: 13544 | GridSize: 48
Generation 62 | Revalues: 13790 | GridSize: 43
Generation 63 | Revalues: 13996 | GridSize: 50
Generation 64 | Revalues: 14222 | GridSize: 46
Generation 65 | Revalues: 14412 | GridSize: 49
Generation 66 | Revalues: 14632 | GridSize: 55
Generation 67 | Revalues: 14840 | GridSize: 55
Generation 68 | Revalues: 15068 | GridSize: 54
Generation 69 | Revalues: 15302 | GridSize: 59
Generation 70 | Revalues: 15514 | GridSize: 47
Generation 71 | Revalues: 15744 | GridSize: 40
Generation 72 | Revalues: 15942 | GridSize: 42
Generation 73 | Revalues: 16160 | GridSize: 41
Generation 74 | Revalues: 16390 | GridSize: 43
Generation 75 | Revalues: 16626 | GridSize: 47
Generation 76 | Revalues: 16854 | GridSize: 48
Generation 77 | Revalues: 17040 | GridSize: 50
Generation 78 | Revalues: 17250 | GridSize: 48
Generation 79 | Revalues: 17458 | GridSize: 45
Generation 80 | Revalues: 17654 | GridSize: 49
Generation 81 | Revalues: 17882 | GridSize: 53
Generation 82 | Revalues: 18110 | GridSize: 51
Generation 83 | Revalues: 18340 | GridSize: 49
Generation 84 | Revalues: 18576 | GridSize: 45
Generation 85 | Revalues: 18780 | GridSize: 44
Generation 86 | Revalues: 19012 | GridSize: 46
Generation 87 | Revalues: 19220 | GridSize: 43
Generation 88 | Revalues: 19422 | GridSize: 43
Generation 89 | Revalues: 19636 | GridSize: 46
Generation 90 | Revalues: 19844 | GridSize: 49
Generation 91 | Revalues: 20072 | GridSize: 47
Generation 92 | Revalues: 20314 | GridSize: 45
Generation 93 | Revalues: 20542 | GridSize: 48
Generation 94 | Revalues: 20758 | GridSize: 54
Generation 95 | Revalues: 20956 | GridSize: 55
Generation 96 | Revalues: 21176 | GridSize: 61
Generation 97 | Revalues: 21392 | GridSize: 64
Generation 98 | Revalues: 21606 | GridSize: 61
Generation 99 | Revalues: 21818 | GridSize: 61
Generation 100 | Revalues: 22050 | GridSize: 60
Generation 101 | Revalues: 22250 | GridSize: 55
Generation 102 | Revalues: 22484 | GridSize: 60
Generation 103 | Revalues: 22710 | GridSize: 60
Generation 104 | Revalues: 22908 | GridSize: 66
Generation 105 | Revalues: 23142 | GridSize: 68
Generation 106 | Revalues: 23350 | GridSize: 69
Generation 107 | Revalues: 23564 | GridSize: 66
Generation 108 | Revalues: 23758 | GridSize: 64
Generation 109 | Revalues: 23982 | GridSize: 67
Generation 110 | Revalues: 24194 | GridSize: 61
Generation 111 | Revalues: 24404 | GridSize: 60
Generation 112 | Revalues: 24624 | GridSize: 57
Generation 113 | Revalues: 24838 | GridSize: 56
Generation 114 | Revalues: 25060 | GridSize: 58
Generation 115 | Revalues: 25280 | GridSize: 47
Generation 116 | Revalues: 25506 | GridSize: 51
Generation 117 | Revalues: 25742 | GridSize: 51
Generation 118 | Revalues: 25968 | GridSize: 51
Generation 119 | Revalues: 26188 | GridSize: 50
Generation 120 | Revalues: 26394 | GridSize: 48
Generation 121 | Revalues: 26616 | GridSize: 51
Generation 122 | Revalues: 26830 | GridSize: 51
Generation 123 | Revalues: 27042 | GridSize: 58
Generation 124 | Revalues: 27254 | GridSize: 56
Generation 125 | Revalues: 27486 | GridSize: 63
Generation 126 | Revalues: 27696 | GridSize: 59
Generation 127 | Revalues: 27942 | GridSize: 59
Generation 128 | Revalues: 28186 | GridSize: 67
Generation 129 | Revalues: 28420 | GridSize: 74
Generation 130 | Revalues: 28642 | GridSize: 73
Generation 131 | Revalues: 28864 | GridSize: 70
Generation 132 | Revalues: 29088 | GridSize: 72
Generation 133 | Revalues: 29300 | GridSize: 80
Generation 134 | Revalues: 29530 | GridSize: 68
Generation 135 | Revalues: 29750 | GridSize: 62
Generation 136 | Revalues: 29982 | GridSize: 66
Generation 137 | Revalues: 30222 | GridSize: 64
Generation 138 | Revalues: 30440 | GridSize: 66
Generation 139 | Revalues: 30678 | GridSize: 70
Generation 140 | Revalues: 30892 | GridSize: 64
Generation 141 | Revalues: 31150 | GridSize: 62
Generation 142 | Revalues: 31376 | GridSize: 50
Generation 143 | Revalues: 31600 | GridSize: 55
Generation 144 | Revalues: 31830 | GridSize: 54
Generation 145 | Revalues: 32038 | GridSize: 58
Generation 146 | Revalues: 32258 | GridSize: 54
Generation 147 | Revalues: 32494 | GridSize: 52
Generation 148 | Revalues: 32728 | GridSize: 50
Generation 149 | Revalues: 32952 | GridSize: 51
Generation 150 | Revalues: 33156 | GridSize: 44
Generation 151 | Revalues: 33380 | GridSize: 46
Generation 152 | Revalues: 33576 | GridSize: 53
Generation 153 | Revalues: 33770 | GridSize: 52
Generation 154 | Revalues: 34002 | GridSize: 53
Generation 155 | Revalues: 34222 | GridSize: 49
Generation 156 | Revalues: 34442 | GridSize: 50
Generation 157 | Revalues: 34670 | GridSize: 56
Generation 158 | Revalues: 34884 | GridSize: 58
Generation 159 | Revalues: 35130 | GridSize: 58
Generation 160 | Revalues: 35330 | GridSize: 58
Generation 161 | Revalues: 35568 | GridSize: 60
Generation 162 | Revalues: 35768 | GridSize: 59
Generation 163 | Revalues: 36000 | GridSize: 61
Generation 164 | Revalues: 36212 | GridSize: 66
Generation 165 | Revalues: 36418 | GridSize: 71
Generation 166 | Revalues: 36642 | GridSize: 73
Generation 167 | Revalues: 36854 | GridSize: 78
Generation 168 | Revalues: 37050 | GridSize: 81
Generation 169 | Revalues: 37272 | GridSize: 79
Generation 170 | Revalues: 37506 | GridSize: 76
Generation 171 | Revalues: 37714 | GridSize: 79
Generation 172 | Revalues: 37942 | GridSize: 77
Generation 173 | Revalues: 38176 | GridSize: 76
Generation 174 | Revalues: 38374 | GridSize: 75
Generation 175 | Revalues: 38606 | GridSize: 74
Generation 176 | Revalues: 38822 | GridSize: 76
Generation 177 | Revalues: 39030 | GridSize: 79
Generation 178 | Revalues: 39256 | GridSize: 82
Generation 179 | Revalues: 39470 | GridSize: 84
Generation 180 | Revalues: 39676 | GridSize: 86
Generation 181 | Revalues: 39864 | GridSize: 84
Generation 182 | Revalues: 40092 | GridSize: 79
Generation 183 | Revalues: 40320 | GridSize: 81
Generation 184 | Revalues: 40524 | GridSize: 85
Generation 185 | Revalues: 40746 | GridSize: 92
Generation 186 | Revalues: 40992 | GridSize: 97
Generation 187 | Revalues: 41206 | GridSize: 98
Generation 188 | Revalues: 41424 | GridSize: 100
Generation 189 | Revalues: 41636 | GridSize: 102
Generation 190 | Revalues: 41868 | GridSize: 105
Generation 191 | Revalues: 42074 | GridSize: 105
Generation 192 | Revalues: 42312 | GridSize: 105
Generation 193 | Revalues: 42546 | GridSize: 101
Generation 194 | Revalues: 42770 | GridSize: 100
Generation 195 | Revalues: 43010 | GridSize: 95
