Feature,Importance
IND_sd,0.19550749341963086
INF_sd,0.13133224197797527
SUP_sd,0.09933853801322653
IND_kr,0.08614246263902842
SUP_sk,0.07811045627907111
INF_r1,0.07441395371707422
SUP_kr,0.07293754559763457
INC_avg,0.03416381275578377
IND_avg,0.031364529827286824
INC_sk,0.03134934916112897
SUP_avg,0.03002641655005313
INF_avg,0.028165219396853368
INC_kr,0.026061891389328688
INF_sk,0.01766918450110487
SUP_r1,0.015792777146523263
INC_sd,0.015209031817744457
IND_sk,0.014093232423004308
INF_kr,0.008051026881488496
INC_r1,0.00643060886699279
IND_r1,0.003840227639065946
