Feature,Importance
INC_avg,0.29847851396150316
SUP_r1,0.14628391456553666
INF_sd,0.10390729342144862
IND_r1,0.07752589967421289
INF_r1,0.04809774017503522
IND_sk,0.046035577198865536
INF_avg,0.04375525058039454
INC_r1,0.039950246900412434
IND_sd,0.035871201899091966
INF_sk,0.029564693139422095
SUP_sd,0.02073203978328718
SUP_sk,0.01976734489116606
INC_sd,0.01806581292226367
IND_kr,0.015456795783713298
INF_kr,0.013780942818290398
SUP_avg,0.012228280316521218
IND_avg,0.011183995362160517
SUP_kr,0.008370919726580136
INC_sk,0.008186495215897777
INC_kr,0.002757041664196531
