Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 37040 | GridSize: 300
Generation 2 | Revalues: 46770 | GridSize: 300
Generation 3 | Revalues: 52920 | GridSize: 300
Generation 4 | Revalues: 56730 | GridSize: 300
Generation 5 | Revalues: 60810 | GridSize: 300
Generation 6 | Revalues: 62880 | GridSize: 300
Generation 7 | Revalues: 67580 | GridSize: 300
Generation 8 | Revalues: 69680 | GridSize: 300
Generation 9 | Revalues: 71570 | GridSize: 300
Generation 10 | Revalues: 73750 | GridSize: 300
Generation 11 | Revalues: 76250 | GridSize: 300
Generation 12 | Revalues: 78440 | GridSize: 300
Generation 13 | Revalues: 80340 | GridSize: 300
Generation 14 | Revalues: 82810 | GridSize: 300
Generation 15 | Revalues: 85310 | GridSize: 300
Generation 16 | Revalues: 87480 | GridSize: 300
Generation 17 | Revalues: 89500 | GridSize: 300
Generation 18 | Revalues: 91190 | GridSize: 300
Generation 19 | Revalues: 93020 | GridSize: 300
Generation 20 | Revalues: 94770 | GridSize: 300
Generation 21 | Revalues: 95980 | GridSize: 300
Generation 22 | Revalues: 97360 | GridSize: 300
Generation 23 | Revalues: 98860 | GridSize: 298
Generation 24 | Revalues: 100780 | GridSize: 300
Generation 25 | Revalues: 102870 | GridSize: 300
Generation 26 | Revalues: 104450 | GridSize: 300
Generation 27 | Revalues: 106160 | GridSize: 300
Generation 28 | Revalues: 108350 | GridSize: 300
Generation 29 | Revalues: 109820 | GridSize: 300
Generation 30 | Revalues: 111390 | GridSize: 300
Generation 31 | Revalues: 113200 | GridSize: 300
Generation 32 | Revalues: 114560 | GridSize: 300
Generation 33 | Revalues: 116510 | GridSize: 300
Generation 34 | Revalues: 118020 | GridSize: 299
Generation 35 | Revalues: 119680 | GridSize: 300
Generation 36 | Revalues: 121620 | GridSize: 299
Generation 37 | Revalues: 122940 | GridSize: 300
Generation 38 | Revalues: 124110 | GridSize: 300
Generation 39 | Revalues: 126330 | GridSize: 300
Generation 40 | Revalues: 128110 | GridSize: 300
Generation 41 | Revalues: 129580 | GridSize: 300
Generation 42 | Revalues: 130700 | GridSize: 300
Generation 43 | Revalues: 132120 | GridSize: 300
Generation 44 | Revalues: 133580 | GridSize: 300
Generation 45 | Revalues: 135000 | GridSize: 300
Generation 46 | Revalues: 136380 | GridSize: 300
Generation 47 | Revalues: 137780 | GridSize: 298
Generation 48 | Revalues: 139120 | GridSize: 300
Generation 49 | Revalues: 140840 | GridSize: 300
Generation 50 | Revalues: 142280 | GridSize: 300
Generation 51 | Revalues: 143600 | GridSize: 300
Generation 52 | Revalues: 145020 | GridSize: 300
Generation 53 | Revalues: 146490 | GridSize: 300
Generation 54 | Revalues: 148050 | GridSize: 300
Generation 55 | Revalues: 149360 | GridSize: 300
Generation 56 | Revalues: 150770 | GridSize: 297
Generation 57 | Revalues: 152280 | GridSize: 300
Generation 58 | Revalues: 153500 | GridSize: 300
Generation 59 | Revalues: 155090 | GridSize: 300
Generation 60 | Revalues: 156410 | GridSize: 300
Generation 61 | Revalues: 157740 | GridSize: 300
Generation 62 | Revalues: 159570 | GridSize: 300
Generation 63 | Revalues: 160830 | GridSize: 300
Generation 64 | Revalues: 162030 | GridSize: 300
Generation 65 | Revalues: 163270 | GridSize: 300
Generation 66 | Revalues: 164470 | GridSize: 300
Generation 67 | Revalues: 165790 | GridSize: 300
Generation 68 | Revalues: 167260 | GridSize: 300
Generation 69 | Revalues: 168550 | GridSize: 300
Generation 70 | Revalues: 169750 | GridSize: 300
Generation 71 | Revalues: 171040 | GridSize: 300
Generation 72 | Revalues: 172310 | GridSize: 299
Generation 73 | Revalues: 173450 | GridSize: 300
Generation 74 | Revalues: 174610 | GridSize: 300
Generation 75 | Revalues: 176020 | GridSize: 300
Generation 76 | Revalues: 177330 | GridSize: 300
Generation 77 | Revalues: 178490 | GridSize: 300
Generation 78 | Revalues: 179670 | GridSize: 300
Generation 79 | Revalues: 180880 | GridSize: 300
Generation 80 | Revalues: 182280 | GridSize: 300
Generation 81 | Revalues: 183880 | GridSize: 300
Generation 82 | Revalues: 185020 | GridSize: 300
Generation 83 | Revalues: 186490 | GridSize: 300
Generation 84 | Revalues: 187940 | GridSize: 300
Generation 85 | Revalues: 189180 | GridSize: 300
Generation 86 | Revalues: 190580 | GridSize: 300
Generation 87 | Revalues: 191940 | GridSize: 300
Generation 88 | Revalues: 193500 | GridSize: 300
Generation 89 | Revalues: 194960 | GridSize: 300
Generation 90 | Revalues: 196250 | GridSize: 300
Generation 91 | Revalues: 197470 | GridSize: 300
Generation 92 | Revalues: 198720 | GridSize: 300
Generation 93 | Revalues: 199920 | GridSize: 300
Generation 94 | Revalues: 201210 | GridSize: 300
Generation 95 | Revalues: 202600 | GridSize: 300
Generation 96 | Revalues: 204010 | GridSize: 300
Generation 97 | Revalues: 205320 | GridSize: 300
Generation 98 | Revalues: 206790 | GridSize: 299
Generation 99 | Revalues: 208150 | GridSize: 300
Generation 100 | Revalues: 209320 | GridSize: 300
Generation 101 | Revalues: 210980 | GridSize: 300
Generation 102 | Revalues: 212530 | GridSize: 300
Generation 103 | Revalues: 213940 | GridSize: 300
Generation 104 | Revalues: 215250 | GridSize: 300
Generation 105 | Revalues: 216560 | GridSize: 300
Generation 106 | Revalues: 217910 | GridSize: 300
Generation 107 | Revalues: 219140 | GridSize: 300
Generation 108 | Revalues: 220370 | GridSize: 300
Generation 109 | Revalues: 221650 | GridSize: 300
Generation 110 | Revalues: 222840 | GridSize: 300
Generation 111 | Revalues: 224300 | GridSize: 300
Generation 112 | Revalues: 225400 | GridSize: 300
Generation 113 | Revalues: 226670 | GridSize: 299
Generation 114 | Revalues: 227870 | GridSize: 300
Generation 115 | Revalues: 228990 | GridSize: 300
Generation 116 | Revalues: 230250 | GridSize: 300
Generation 117 | Revalues: 231710 | GridSize: 300
Generation 118 | Revalues: 232820 | GridSize: 300
