Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 302 | GridSize: 7
Generation 2 | Revalues: 542 | GridSize: 12
Generation 3 | Revalues: 768 | GridSize: 11
Generation 4 | Revalues: 1004 | GridSize: 15
Generation 5 | Revalues: 1200 | GridSize: 9
Generation 6 | Revalues: 1440 | GridSize: 8
Generation 7 | Revalues: 1652 | GridSize: 11
Generation 8 | Revalues: 1876 | GridSize: 15
Generation 9 | Revalues: 2070 | GridSize: 14
Generation 10 | Revalues: 2298 | GridSize: 16
Generation 11 | Revalues: 2490 | GridSize: 16
Generation 12 | Revalues: 2710 | GridSize: 19
Generation 13 | Revalues: 2914 | GridSize: 18
Generation 14 | Revalues: 3132 | GridSize: 10
Generation 15 | Revalues: 3346 | GridSize: 18
Generation 16 | Revalues: 3560 | GridSize: 17
Generation 17 | Revalues: 3784 | GridSize: 24
Generation 18 | Revalues: 3990 | GridSize: 24
Generation 19 | Revalues: 4198 | GridSize: 17
Generation 20 | Revalues: 4446 | GridSize: 17
Generation 21 | Revalues: 4664 | GridSize: 14
Generation 22 | Revalues: 4898 | GridSize: 23
Generation 23 | Revalues: 5118 | GridSize: 24
Generation 24 | Revalues: 5324 | GridSize: 26
Generation 25 | Revalues: 5536 | GridSize: 28
Generation 26 | Revalues: 5786 | GridSize: 25
Generation 27 | Revalues: 5998 | GridSize: 21
Generation 28 | Revalues: 6210 | GridSize: 26
Generation 29 | Revalues: 6420 | GridSize: 26
Generation 30 | Revalues: 6630 | GridSize: 29
Generation 31 | Revalues: 6836 | GridSize: 27
Generation 32 | Revalues: 7042 | GridSize: 28
Generation 33 | Revalues: 7262 | GridSize: 28
Generation 34 | Revalues: 7482 | GridSize: 21
Generation 35 | Revalues: 7698 | GridSize: 25
Generation 36 | Revalues: 7942 | GridSize: 22
Generation 37 | Revalues: 8154 | GridSize: 24
Generation 38 | Revalues: 8360 | GridSize: 29
Generation 39 | Revalues: 8548 | GridSize: 22
Generation 40 | Revalues: 8776 | GridSize: 23
Generation 41 | Revalues: 8988 | GridSize: 27
Generation 42 | Revalues: 9212 | GridSize: 24
Generation 43 | Revalues: 9440 | GridSize: 33
Generation 44 | Revalues: 9652 | GridSize: 29
Generation 45 | Revalues: 9892 | GridSize: 32
Generation 46 | Revalues: 10128 | GridSize: 41
Generation 47 | Revalues: 10304 | GridSize: 41
Generation 48 | Revalues: 10520 | GridSize: 37
Generation 49 | Revalues: 10724 | GridSize: 41
Generation 50 | Revalues: 10940 | GridSize: 37
Generation 51 | Revalues: 11166 | GridSize: 39
Generation 52 | Revalues: 11374 | GridSize: 40
Generation 53 | Revalues: 11594 | GridSize: 35
Generation 54 | Revalues: 11822 | GridSize: 41
Generation 55 | Revalues: 12016 | GridSize: 37
Generation 56 | Revalues: 12222 | GridSize: 39
Generation 57 | Revalues: 12436 | GridSize: 39
Generation 58 | Revalues: 12668 | GridSize: 43
Generation 59 | Revalues: 12890 | GridSize: 42
Generation 60 | Revalues: 13096 | GridSize: 43
Generation 61 | Revalues: 13316 | GridSize: 37
Generation 62 | Revalues: 13536 | GridSize: 40
Generation 63 | Revalues: 13732 | GridSize: 42
Generation 64 | Revalues: 13946 | GridSize: 50
Generation 65 | Revalues: 14178 | GridSize: 59
Generation 66 | Revalues: 14388 | GridSize: 54
Generation 67 | Revalues: 14594 | GridSize: 45
Generation 68 | Revalues: 14816 | GridSize: 51
Generation 69 | Revalues: 15022 | GridSize: 44
Generation 70 | Revalues: 15242 | GridSize: 46
Generation 71 | Revalues: 15472 | GridSize: 49
Generation 72 | Revalues: 15692 | GridSize: 48
Generation 73 | Revalues: 15890 | GridSize: 51
Generation 74 | Revalues: 16130 | GridSize: 61
Generation 75 | Revalues: 16338 | GridSize: 67
Generation 76 | Revalues: 16520 | GridSize: 64
Generation 77 | Revalues: 16748 | GridSize: 64
Generation 78 | Revalues: 16972 | GridSize: 62
Generation 79 | Revalues: 17196 | GridSize: 54
Generation 80 | Revalues: 17414 | GridSize: 61
Generation 81 | Revalues: 17634 | GridSize: 56
Generation 82 | Revalues: 17858 | GridSize: 57
Generation 83 | Revalues: 18080 | GridSize: 43
Generation 84 | Revalues: 18300 | GridSize: 52
Generation 85 | Revalues: 18530 | GridSize: 55
Generation 86 | Revalues: 18748 | GridSize: 59
Generation 87 | Revalues: 18980 | GridSize: 56
Generation 88 | Revalues: 19200 | GridSize: 48
Generation 89 | Revalues: 19436 | GridSize: 60
Generation 90 | Revalues: 19660 | GridSize: 56
Generation 91 | Revalues: 19868 | GridSize: 57
Generation 92 | Revalues: 20092 | GridSize: 60
Generation 93 | Revalues: 20320 | GridSize: 52
Generation 94 | Revalues: 20568 | GridSize: 47
Generation 95 | Revalues: 20778 | GridSize: 47
Generation 96 | Revalues: 20998 | GridSize: 42
Generation 97 | Revalues: 21198 | GridSize: 46
Generation 98 | Revalues: 21444 | GridSize: 44
Generation 99 | Revalues: 21656 | GridSize: 41
Generation 100 | Revalues: 21886 | GridSize: 54
Generation 101 | Revalues: 22104 | GridSize: 49
Generation 102 | Revalues: 22328 | GridSize: 50
Generation 103 | Revalues: 22534 | GridSize: 51
Generation 104 | Revalues: 22762 | GridSize: 49
Generation 105 | Revalues: 22982 | GridSize: 49
Generation 106 | Revalues: 23208 | GridSize: 50
Generation 107 | Revalues: 23414 | GridSize: 53
Generation 108 | Revalues: 23616 | GridSize: 62
Generation 109 | Revalues: 23816 | GridSize: 56
Generation 110 | Revalues: 24064 | GridSize: 62
Generation 111 | Revalues: 24256 | GridSize: 63
Generation 112 | Revalues: 24468 | GridSize: 70
Generation 113 | Revalues: 24706 | GridSize: 79
Generation 114 | Revalues: 24954 | GridSize: 74
Generation 115 | Revalues: 25178 | GridSize: 71
Generation 116 | Revalues: 25414 | GridSize: 75
Generation 117 | Revalues: 25622 | GridSize: 66
Generation 118 | Revalues: 25832 | GridSize: 64
Generation 119 | Revalues: 26064 | GridSize: 54
Generation 120 | Revalues: 26282 | GridSize: 48
Generation 121 | Revalues: 26498 | GridSize: 59
Generation 122 | Revalues: 26716 | GridSize: 53
Generation 123 | Revalues: 26934 | GridSize: 50
Generation 124 | Revalues: 27150 | GridSize: 52
Generation 125 | Revalues: 27352 | GridSize: 48
Generation 126 | Revalues: 27550 | GridSize: 53
Generation 127 | Revalues: 27774 | GridSize: 58
Generation 128 | Revalues: 27990 | GridSize: 56
Generation 129 | Revalues: 28208 | GridSize: 42
Generation 130 | Revalues: 28418 | GridSize: 37
Generation 131 | Revalues: 28642 | GridSize: 50
Generation 132 | Revalues: 28838 | GridSize: 51
Generation 133 | Revalues: 29042 | GridSize: 44
Generation 134 | Revalues: 29266 | GridSize: 54
Generation 135 | Revalues: 29490 | GridSize: 49
Generation 136 | Revalues: 29708 | GridSize: 46
Generation 137 | Revalues: 29926 | GridSize: 50
Generation 138 | Revalues: 30150 | GridSize: 50
Generation 139 | Revalues: 30372 | GridSize: 55
Generation 140 | Revalues: 30594 | GridSize: 54
Generation 141 | Revalues: 30806 | GridSize: 62
Generation 142 | Revalues: 31004 | GridSize: 73
Generation 143 | Revalues: 31180 | GridSize: 58
Generation 144 | Revalues: 31394 | GridSize: 60
Generation 145 | Revalues: 31628 | GridSize: 61
Generation 146 | Revalues: 31858 | GridSize: 70
Generation 147 | Revalues: 32054 | GridSize: 77
Generation 148 | Revalues: 32264 | GridSize: 79
Generation 149 | Revalues: 32470 | GridSize: 78
Generation 150 | Revalues: 32692 | GridSize: 81
Generation 151 | Revalues: 32912 | GridSize: 75
Generation 152 | Revalues: 33148 | GridSize: 73
Generation 153 | Revalues: 33372 | GridSize: 68
Generation 154 | Revalues: 33596 | GridSize: 61
Generation 155 | Revalues: 33808 | GridSize: 58
Generation 156 | Revalues: 34016 | GridSize: 60
Generation 157 | Revalues: 34232 | GridSize: 66
Generation 158 | Revalues: 34486 | GridSize: 70
Generation 159 | Revalues: 34704 | GridSize: 66
Generation 160 | Revalues: 34932 | GridSize: 64
Generation 161 | Revalues: 35178 | GridSize: 67
Generation 162 | Revalues: 35408 | GridSize: 73
Generation 163 | Revalues: 35624 | GridSize: 60
Generation 164 | Revalues: 35850 | GridSize: 51
Generation 165 | Revalues: 36074 | GridSize: 53
Generation 166 | Revalues: 36278 | GridSize: 54
Generation 167 | Revalues: 36492 | GridSize: 61
Generation 168 | Revalues: 36706 | GridSize: 59
Generation 169 | Revalues: 36918 | GridSize: 65
Generation 170 | Revalues: 37138 | GridSize: 56
Generation 171 | Revalues: 37368 | GridSize: 59
Generation 172 | Revalues: 37590 | GridSize: 66
Generation 173 | Revalues: 37812 | GridSize: 70
Generation 174 | Revalues: 38038 | GridSize: 73
Generation 175 | Revalues: 38274 | GridSize: 74
Generation 176 | Revalues: 38470 | GridSize: 72
Generation 177 | Revalues: 38694 | GridSize: 77
Generation 178 | Revalues: 38888 | GridSize: 79
Generation 179 | Revalues: 39104 | GridSize: 81
Generation 180 | Revalues: 39350 | GridSize: 69
Generation 181 | Revalues: 39582 | GridSize: 73
Generation 182 | Revalues: 39800 | GridSize: 64
Generation 183 | Revalues: 40026 | GridSize: 66
Generation 184 | Revalues: 40242 | GridSize: 68
Generation 185 | Revalues: 40474 | GridSize: 80
Generation 186 | Revalues: 40702 | GridSize: 69
Generation 187 | Revalues: 40928 | GridSize: 68
Generation 188 | Revalues: 41132 | GridSize: 71
Generation 189 | Revalues: 41366 | GridSize: 65
Generation 190 | Revalues: 41608 | GridSize: 69
Generation 191 | Revalues: 41832 | GridSize: 63
Generation 192 | Revalues: 42076 | GridSize: 73
Generation 193 | Revalues: 42282 | GridSize: 78
Generation 194 | Revalues: 42502 | GridSize: 82
Generation 195 | Revalues: 42730 | GridSize: 72
Generation 196 | Revalues: 42934 | GridSize: 71
Generation 197 | Revalues: 43154 | GridSize: 68
