Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD,COMOLSD
452,0.232,0.0754718491,0.1203703704,2.1453414973,0.5573921436,0.248,0.0391918359,0.060324826,2.4361979167,1.0269996057,0.52,0.0606630036,-0.6666666667,2.1219281664,-0.3870276692,0.12,0.0252982213,-0.75,1.5625,0.5929270613,0.9727235751650001,0.9480955927520001,0.9407922369357602
G,0.288,0.0733212111,0.1017780503,1.6316964286,-0.0769607738,0.3,0.0829457654,0.0975609756,1.8185505679,-0.0504672721,0.412,0.016,-0.338028169,2.078125,0.84375,0.104,0.0344093011,-0.6666666667,1.9945215486,0.3958703373,0.903905711385,0.8926558896929999,0.8798171945030451
318,0.256,0.0542586399,0.5259391771,1.9651465028,0.1514485311,0.26,0.0505964426,-0.2608695652,1.26953125,-0.222347648,0.484,0.0344093011,-0.2994350282,1.9945215486,0.3958703373,0.1,0.0334664011,-0.6428571429,2.5,-0.7683612489,1.0345683208300003,0.9846187542875,0.9796979435809998
311,0.212,0.0587877538,-0.2035315985,2.5234053498,0.9620295363,0.32,0.0219089023,-0.1666666667,2.5,-0.9128709292,0.468,0.0411825206,-0.2737642586,2.0685297259,-0.4068404933,0.1,0.0521536192,0.12,1.6003460208,0.4060402882,0.8434872320215,0.8369634367832999,0.8333515542585801
279,0.312,0.0688186021,-0.6120906801,2.90873813,-1.1911455686,0.244,0.0233238076,-0.0946745562,2.6660899654,-1.1500493357,0.444,0.0674091982,-0.6537800687,2.0052073001,0.7672292692,0.088,0.0271293199,-0.6022099448,2.9310018904,1.1731251294,0.94409277623,0.9047337177840002,0.89385886758475
328,0.192,0.0652380257,-0.0876897133,2.0504550851,-0.7136388703,0.304,0.0344093011,-0.7065868263,1.9945215486,0.3958703373,0.504,0.0813879598,-0.4380530973,2.9310018904,1.1731251294,0.116,0.0233238076,-0.7346938776,2.6660899654,1.1500493357,0.7928456765809998,0.7814104598463499,0.7759649385990749
10,0.248,0.0515363949,-0.5306122449,2.3327768907,0.8163607337,0.228,0.037094474,0.6503496503,1.509194159,0.1579875514,0.524,0.0557135531,-1.2208121827,2.190509087,0.6261779404,0.136,0.0293938769,-0.437007874,1.5781893004,0.3477670622,1.02454556861,0.9991025340719999,0.99578944536209
471,0.22,0.0769415362,0.1551724138,1.5796201607,-0.5058245626,0.296,0.0813879598,0.2838018742,1.2996919415,0.1445928362,0.484,0.0293938769,-0.7125984252,1.5781893004,-0.3477670622,0.096,0.0265329983,-0.301369863,2.2169421488,0.3700366502,0.956790361,0.9239678158695002,0.9153573084718302
240,0.332,0.0348711915,-0.8882175227,1.3801939058,-0.507129517,0.184,0.0195959179,0.1025641026,2.7291666667,0.8675276172,0.484,0.042708313,-0.9585987261,1.7206832872,-0.1380231722,0.12,0.0334664011,-0.6428571429,2.5,-0.7683612489,0.875084351696,0.876663849125,0.8653733556083051
167,0.204,0.048,0.4444444444,2.3096064815,-0.6701388889,0.336,0.0496386946,-0.1074270557,1.779473773,-0.1632576395,0.46,0.0857904424,0.0746268657,1.2594517958,-0.1520388274,0.084,0.0195959179,-0.130952381,2.7291666667,0.8675276172,0.9887126892,0.9429918304444997,0.93780352998503
102,0.248,0.0515363949,-0.638381201,1.5489185658,-0.0252482701,0.26,0.0252982213,0.2857142857,1.5625,-0.5929270613,0.492,0.0627375486,-0.5028665029,1.7813801309,-0.0171057167,0.112,0.016,0.3661971831,2.078125,0.84375,0.8938721245000002,0.825251913744,0.8101403788073501
204,0.312,0.0299332591,0.0405904059,2.1339285714,-0.7301958931,0.232,0.0430813185,-0.2773722628,1.2285969084,-0.3169627324,0.456,0.0496386946,0.0856031128,1.3240850059,-0.00627914,0.112,0.0448998886,-0.0144927536,1.8469387755,-0.3436215967,0.9935867118849998,0.94343584371,0.9330890824535001
426,0.2,0.0357770876,-0.6666666667,1.953125,-0.6288941187,0.288,0.0872696969,-0.657620986,2.2242956006,-0.5165095313,0.512,0.0574108004,-0.4958592133,2.6779621076,1.114096383,0.112,0.0271293199,-0.0220994475,2.9310018904,-1.1731251294,0.94323326257,0.8957819333270001,0.8874400591890499
135,0.372,0.106282642,-0.5669807456,1.8450553331,0.2955399327,0.264,0.0512249939,-0.3328822733,1.6140690065,0.2056922718,0.364,0.0889044431,-0.0770855333,2.6194577849,-0.9524851515,0.104,0.0293938769,-0.3197026022,2.8127572016,1.1642636432,0.864879365194,0.8599887632380001,0.852976850223705
86,0.252,0.0430813185,-0.2773722628,1.2285969084,-0.3169627324,0.184,0.0149666295,-0.3768115942,1.8469387755,-0.3436215967,0.564,0.0407921561,-0.712962963,1.3731508876,0.1527442976,0.12,0.0126491106,0.0,2.5,0.0,0.8515169252600001,0.7960807389245,0.7761844769172501
302,0.272,0.0815843122,-0.4521193093,2.5224898299,0.8549437766,0.332,0.0483321839,0.1176470588,2.5052542691,0.8978957038,0.396,0.079397733,0.1576506955,2.3296271483,-0.5232283802,0.096,0.0149666295,0.2028985507,1.8469387755,0.3436215967,0.7181997380530001,0.7152750743255001,0.7001158106782002
235,0.292,0.1135605565,-0.6601916602,1.6896261907,0.2226160015,0.2,0.0309838668,-0.5454545455,2.9166666667,1.2909944487,0.508,0.0926066952,-0.5216468591,1.6506042548,-0.5700564592,0.124,0.0387814389,-0.4976958525,3.0377999095,1.362792753,0.7987621015880002,0.787153678471,0.7836841994110001
321,0.276,0.0407921561,-0.3583815029,2.7045118343,-1.0013237284,0.244,0.0293938769,0.4973544974,1.5781893004,-0.3477670622,0.48,0.0606630036,0.0238095238,3.1427221172,1.4191014536,0.112,0.016,-0.7741935484,2.078125,0.84375,0.95514319159,0.9128828996654998,0.90575599412255
359,0.196,0.088,0.0942204954,1.559541698,0.0495867769,0.288,0.0530659966,-0.6130884041,1.897339876,-0.5627640721,0.516,0.0897997773,-0.148409894,3.0563114135,-1.3532751773,0.124,0.0195959179,-0.130952381,2.7291666667,0.8675276172,0.8379725058260001,0.8349213362075,0.8306946955402301
301,0.268,0.0711055553,-1.1181262729,2.5890482295,1.0318052965,0.26,0.0536656315,-1.05,1.6203703704,-0.1242259987,0.472,0.0411825206,-0.4819944598,2.0685297259,0.4068404933,0.12,0.0126491106,0.0,2.5,0.0,0.8479671669500002,0.759429831494,0.7429922598129498
70,0.256,0.0407921561,-0.6115702479,1.9556213018,0.2715454179,0.24,0.0419523539,-0.2857142857,2.8305785124,1.1701586323,0.504,0.0585149554,-0.2675397568,1.3093283256,0.0900800147,0.1,0.0309838668,-0.1818181818,2.9166666667,1.2909944487,0.9710628044799998,0.9146599602985,0.9039605674114501
158,0.304,0.0344093011,0.7126436782,1.9945215486,0.3958703373,0.208,0.0699714227,0.000655308,2.4482250417,0.0851888397,0.488,0.0881816307,0.354768154,1.9338261444,0.0677613761,0.12,0.0282842712,-0.3333333333,1.7,0.0,0.8691599235900002,0.8292256572219999,0.81789073270755
6,0.22,0.0536656315,-0.0277777778,2.7314814815,0.99380799,0.296,0.0773563184,0.2682926829,2.6432125597,1.0228381633,0.484,0.079397733,-0.1795252226,2.3914684738,-0.9344459927,0.124,0.0233238076,-0.2337662338,2.6660899654,-1.1500493357,0.8292914567949999,0.7794007689325,0.7626650525340499
364,0.252,0.0530659966,-0.0529482551,1.432463843,-0.2081456157,0.224,0.0265329983,-0.301369863,2.2169421488,-0.3700366502,0.524,0.0527636238,-0.5167865707,2.1575505351,-0.2169728883,0.12,0.0334664011,-0.3076923077,2.5,-0.7683612489,0.91803804358,0.8783971399485001,0.8699014678892499
116,0.204,0.0407921561,-0.5992292871,2.7045118343,1.0013237284,0.26,0.0619677335,0.8695652174,1.7447916667,0.5244664948,0.536,0.0662117814,-0.0957178841,1.5946773936,-0.055561594,0.128,0.0203960781,-0.2962962963,1.9556213018,0.2715454179,1.024522126375,0.982507940839,0.976872095053255
105,0.292,0.0466476152,-0.2337662338,2.6660899654,1.1500493357,0.224,0.0496386946,-0.5450928382,2.0324675325,-0.621634858,0.484,0.0773563184,-0.2486515642,2.6432125597,-1.0228381633,0.116,0.0233238076,-0.6044776119,1.6280276817,-0.3631734744,0.8962937357950003,0.8751457049215,0.8700226848757501
431,0.264,0.0585149554,-0.08190091,2.2264389903,-0.8682180139,0.216,0.0731026675,-0.1925739459,3.104109147,1.3889087439,0.52,0.1152388823,-0.1144578313,2.2967774713,-0.6210253312,0.164,0.0407921561,-0.1078998073,2.7045118343,1.0013237284,0.691530928598,0.6911878912895,0.68480181021165
120,0.276,0.0598665182,0.164432529,1.5061383929,0.0590599619,0.252,0.0391918359,-0.8649517685,2.4361979167,0.5677202789,0.472,0.0545527268,-0.0178117048,1.3747832119,-0.1088026982,0.128,0.0515363949,-0.4229249012,1.5489185658,-0.0252482701,0.7941557985721002,0.79232969978665,0.7945182438801799
272,0.3,0.0309838668,-0.1818181818,2.9166666667,1.2909944487,0.256,0.042708313,-0.5262172285,2.2746999077,-0.8478566294,0.444,0.0233238076,-0.5680473373,1.6280276817,0.3631734744,0.12,0.0309838668,-0.1818181818,2.9166666667,1.2909944487,0.8732056120094999,0.8565564508554999,0.8523543371127099
465,0.296,0.0557135531,0.2131979695,2.190509087,-0.6261779404,0.22,0.0489897949,0.0384615385,1.9666666667,-0.4082482905,0.484,0.0708801806,-0.0116448326,1.7075946286,-0.0841107259,0.14,0.0219089023,-0.3333333333,2.5,0.9128709292,0.9193368641755001,0.9082241959755001,0.9044976887813
163,0.256,0.0344093011,-0.0843373494,1.9945215486,-0.3958703373,0.276,0.0611882342,0.1192560175,2.832237563,-1.1096485595,0.468,0.0688186021,0.6338215712,1.9226168736,-0.2226770648,0.128,0.0203960781,-0.5289256198,1.9556213018,0.2715454179,0.97507357422,0.942173135147,0.9358723458472001
384,0.252,0.0483321839,-0.9144144144,1.323043723,0.3877276903,0.228,0.0515363949,-0.4868804665,2.3327768907,0.8163607337,0.52,0.0489897949,-0.4285714286,1.9666666667,0.4082482905,0.092,0.016,-0.7605633803,2.078125,0.84375,0.8781028589950001,0.8172287438854999,0.80166275373065
47,0.296,0.0708801806,0.4368340944,1.4154935291,0.4076135177,0.204,0.0387814389,-0.0462555066,1.5439112721,0.0460847791,0.5,0.0632455532,0.0,1.348,-0.0,0.12,0.0505964426,-0.1935483871,3.14453125,1.4082017705,0.91278092722,0.8932389343470002,0.8882739880537998
154,0.296,0.0233238076,-0.6568047337,1.6280276817,-0.3631734744,0.192,0.037094474,0.3867924528,2.9694429421,-1.2864700617,0.512,0.0430813185,0.3127147766,1.7636741974,0.403407114,0.112,0.0324961536,-0.5030674847,2.2685950413,-0.1790421687,0.9907421821750001,0.9462738684305,0.9341992272869998
39,0.296,0.0463033476,-0.214511041,2.1988193362,-0.3365218792,0.28,0.0309838668,-0.1818181818,2.9166666667,-1.2909944487,0.424,0.0496386946,-0.1171032357,1.3240850059,0.00627914,0.104,0.0233238076,-0.0064935065,2.6660899654,-1.1500493357,0.9851899073699997,0.9545288904025,0.948886226251985
78,0.248,0.0805977667,0.2694965449,2.1138707564,0.3674514165,0.276,0.0463033476,-0.214511041,2.1988193362,-0.3365218792,0.476,0.085229103,0.1370896185,2.207504512,-0.1718095262,0.124,0.0407921561,0.1233140655,2.7045118343,1.0013237284,0.92956147276,0.8951982178184998,0.88852745214885
228,0.22,0.0632455532,0.7058823529,1.348,-0.0,0.304,0.0598665182,-0.0960960961,1.5061383929,-0.0590599619,0.476,0.042708313,-0.7075664622,1.7206832872,0.1380231722,0.104,0.008,-0.3157894737,3.25,1.5,0.9402654569845001,0.9250496022875,0.9231661252805949
