Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 34580 | GridSize: 300
Generation 2 | Revalues: 39290 | GridSize: 291
Generation 3 | Revalues: 41020 | GridSize: 300
Generation 4 | Revalues: 44370 | GridSize: 300
Generation 5 | Revalues: 46210 | GridSize: 298
Generation 6 | Revalues: 48070 | GridSize: 300
Generation 7 | Revalues: 51750 | GridSize: 300
Generation 8 | Revalues: 54560 | GridSize: 300
Generation 9 | Revalues: 57560 | GridSize: 299
Generation 10 | Revalues: 59320 | GridSize: 300
Generation 11 | Revalues: 60730 | GridSize: 300
Generation 12 | Revalues: 62380 | GridSize: 300
Generation 13 | Revalues: 66020 | GridSize: 300
Generation 14 | Revalues: 70020 | GridSize: 300
Generation 15 | Revalues: 71990 | GridSize: 300
Generation 16 | Revalues: 74540 | GridSize: 293
Generation 17 | Revalues: 76530 | GridSize: 300
Generation 18 | Revalues: 79050 | GridSize: 300
Generation 19 | Revalues: 80820 | GridSize: 300
Generation 20 | Revalues: 82360 | GridSize: 300
Generation 21 | Revalues: 83920 | GridSize: 300
Generation 22 | Revalues: 86840 | GridSize: 300
Generation 23 | Revalues: 88610 | GridSize: 293
Generation 24 | Revalues: 90100 | GridSize: 300
Generation 25 | Revalues: 91470 | GridSize: 298
Generation 26 | Revalues: 93390 | GridSize: 300
Generation 27 | Revalues: 95120 | GridSize: 300
Generation 28 | Revalues: 97000 | GridSize: 299
Generation 29 | Revalues: 98450 | GridSize: 300
Generation 30 | Revalues: 99840 | GridSize: 294
Generation 31 | Revalues: 101460 | GridSize: 300
Generation 32 | Revalues: 102790 | GridSize: 300
Generation 33 | Revalues: 104170 | GridSize: 300
Generation 34 | Revalues: 105770 | GridSize: 298
Generation 35 | Revalues: 107270 | GridSize: 298
Generation 36 | Revalues: 109280 | GridSize: 300
Generation 37 | Revalues: 110550 | GridSize: 300
Generation 38 | Revalues: 112200 | GridSize: 300
Generation 39 | Revalues: 113540 | GridSize: 297
Generation 40 | Revalues: 114870 | GridSize: 299
Generation 41 | Revalues: 116180 | GridSize: 298
Generation 42 | Revalues: 117580 | GridSize: 300
Generation 43 | Revalues: 119050 | GridSize: 300
Generation 44 | Revalues: 120670 | GridSize: 300
Generation 45 | Revalues: 122000 | GridSize: 300
Generation 46 | Revalues: 123670 | GridSize: 300
Generation 47 | Revalues: 124990 | GridSize: 300
Generation 48 | Revalues: 126430 | GridSize: 300
Generation 49 | Revalues: 128090 | GridSize: 300
Generation 50 | Revalues: 129970 | GridSize: 298
Generation 51 | Revalues: 131380 | GridSize: 300
Generation 52 | Revalues: 133470 | GridSize: 300
Generation 53 | Revalues: 134660 | GridSize: 299
Generation 54 | Revalues: 136150 | GridSize: 300
Generation 55 | Revalues: 137370 | GridSize: 300
Generation 56 | Revalues: 139060 | GridSize: 300
Generation 57 | Revalues: 140620 | GridSize: 300
Generation 58 | Revalues: 142400 | GridSize: 300
Generation 59 | Revalues: 143830 | GridSize: 300
Generation 60 | Revalues: 147160 | GridSize: 300
Generation 61 | Revalues: 149020 | GridSize: 300
Generation 62 | Revalues: 150610 | GridSize: 300
Generation 63 | Revalues: 151970 | GridSize: 299
Generation 64 | Revalues: 153450 | GridSize: 300
Generation 65 | Revalues: 154750 | GridSize: 300
Generation 66 | Revalues: 156280 | GridSize: 300
Generation 67 | Revalues: 158170 | GridSize: 300
Generation 68 | Revalues: 159480 | GridSize: 300
Generation 69 | Revalues: 160940 | GridSize: 300
Generation 70 | Revalues: 162300 | GridSize: 300
Generation 71 | Revalues: 163680 | GridSize: 300
Generation 72 | Revalues: 164890 | GridSize: 300
Generation 73 | Revalues: 166390 | GridSize: 299
