,r0.05,r0.1,r0.25,r0.5,r1.0
GAP,0.5808244443288112,0.1913342010433033,0.06475563075893909,0.04392724438914983,0.0
spearman,0.004850942687623582,0.03968582243763152,0.040485399778523064,0.02130261159560353,0.03921361054510725
