,r0.05,r0.1,r0.25,r0.5,r1.0
GAP,2.2147311615059935,1.2796131752019129,0.7891472002128893,0.5161816146409953,0.0
spearman,0.060312403269654924,0.052995822195506526,-0.05535342429662969,-0.012160149801279782,-0.008666692696118607
