,r0.05,r0.1,r0.25,r0.5,r1.0
GAP,0.32832719802720645,0.1215876164536869,0.033388736788029935,0.027486342156898252,0.0
spearman,0.1150420862739852,0.11159712906526295,0.1873392576191323,0.2368319525535594,0.1808004240906151
