r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.078089914,0.0764495904,0.0964769579,0.0796123034,0.0988247187,0.0890209800
50%,0.092954319,0.0845321759,0.0851244682,0.0897225298,0.0901856107,0.0679709402
25%,0.0734770478,0.091386198,0.0949446441,0.1023230509,0.0993010482,0.0817968822
10%,0.0721569996,0.086983243,0.0869126404,0.0910502194,0.0904402099,0.0773971603
5%,0.0847993118,0.0959840368,0.0932507929,0.1010810257,0.0928449596,0.0903087317
