r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,1.3797e-05,1.32876e-05,1.74419e-05,1.50479e-05,1.85451e-05,0.0000175983
50%,1.69214e-05,1.44745e-05,1.51188e-05,1.44375e-05,1.48527e-05,0.0000096428
25%,1.48959e-05,1.63688e-05,1.8751e-05,1.52955e-05,1.4468e-05,0.0000149740
10%,1.12862e-05,1.42316e-05,1.20343e-05,1.36516e-05,1.15291e-05,0.0000127300
5%,1.75388e-05,1.74155e-05,1.40677e-05,1.53147e-05,1.14729e-05,0.0000111340
