Generation 0 | Revalues: 100 | GridSize: 2
Generation 1 | Revalues: 304 | GridSize: 9
Generation 2 | Revalues: 510 | GridSize: 8
Generation 3 | Revalues: 728 | GridSize: 7
Generation 4 | Revalues: 964 | GridSize: 7
Generation 5 | Revalues: 1160 | GridSize: 19
Generation 6 | Revalues: 1388 | GridSize: 17
Generation 7 | Revalues: 1608 | GridSize: 18
Generation 8 | Revalues: 1816 | GridSize: 13
Generation 9 | Revalues: 2034 | GridSize: 15
Generation 10 | Revalues: 2270 | GridSize: 23
Generation 11 | Revalues: 2510 | GridSize: 26
Generation 12 | Revalues: 2718 | GridSize: 25
Generation 13 | Revalues: 2944 | GridSize: 18
Generation 14 | Revalues: 3194 | GridSize: 24
Generation 15 | Revalues: 3432 | GridSize: 31
Generation 16 | Revalues: 3650 | GridSize: 19
Generation 17 | Revalues: 3866 | GridSize: 16
Generation 18 | Revalues: 4080 | GridSize: 24
Generation 19 | Revalues: 4306 | GridSize: 16
Generation 20 | Revalues: 4514 | GridSize: 16
Generation 21 | Revalues: 4742 | GridSize: 27
Generation 22 | Revalues: 4976 | GridSize: 26
Generation 23 | Revalues: 5214 | GridSize: 28
Generation 24 | Revalues: 5436 | GridSize: 26
Generation 25 | Revalues: 5696 | GridSize: 19
Generation 26 | Revalues: 5906 | GridSize: 30
Generation 27 | Revalues: 6112 | GridSize: 28
Generation 28 | Revalues: 6328 | GridSize: 33
Generation 29 | Revalues: 6556 | GridSize: 26
Generation 30 | Revalues: 6768 | GridSize: 25
Generation 31 | Revalues: 6984 | GridSize: 29
Generation 32 | Revalues: 7182 | GridSize: 32
Generation 33 | Revalues: 7390 | GridSize: 28
Generation 34 | Revalues: 7600 | GridSize: 27
Generation 35 | Revalues: 7812 | GridSize: 29
Generation 36 | Revalues: 8022 | GridSize: 27
Generation 37 | Revalues: 8240 | GridSize: 24
Generation 38 | Revalues: 8438 | GridSize: 21
Generation 39 | Revalues: 8672 | GridSize: 27
Generation 40 | Revalues: 8880 | GridSize: 26
Generation 41 | Revalues: 9120 | GridSize: 34
Generation 42 | Revalues: 9310 | GridSize: 29
Generation 43 | Revalues: 9542 | GridSize: 28
Generation 44 | Revalues: 9758 | GridSize: 31
Generation 45 | Revalues: 9970 | GridSize: 24
Generation 46 | Revalues: 10178 | GridSize: 21
Generation 47 | Revalues: 10408 | GridSize: 27
Generation 48 | Revalues: 10614 | GridSize: 20
Generation 49 | Revalues: 10848 | GridSize: 22
Generation 50 | Revalues: 11086 | GridSize: 27
Generation 51 | Revalues: 11330 | GridSize: 29
Generation 52 | Revalues: 11566 | GridSize: 29
Generation 53 | Revalues: 11794 | GridSize: 23
Generation 54 | Revalues: 12006 | GridSize: 21
Generation 55 | Revalues: 12222 | GridSize: 25
Generation 56 | Revalues: 12444 | GridSize: 28
Generation 57 | Revalues: 12686 | GridSize: 35
Generation 58 | Revalues: 12898 | GridSize: 29
Generation 59 | Revalues: 13116 | GridSize: 34
Generation 60 | Revalues: 13348 | GridSize: 29
Generation 61 | Revalues: 13574 | GridSize: 29
Generation 62 | Revalues: 13786 | GridSize: 25
Generation 63 | Revalues: 14046 | GridSize: 18
Generation 64 | Revalues: 14266 | GridSize: 17
Generation 65 | Revalues: 14492 | GridSize: 24
Generation 66 | Revalues: 14714 | GridSize: 21
Generation 67 | Revalues: 14948 | GridSize: 21
Generation 68 | Revalues: 15156 | GridSize: 22
Generation 69 | Revalues: 15380 | GridSize: 22
Generation 70 | Revalues: 15620 | GridSize: 28
Generation 71 | Revalues: 15844 | GridSize: 21
Generation 72 | Revalues: 16058 | GridSize: 34
Generation 73 | Revalues: 16264 | GridSize: 41
Generation 74 | Revalues: 16502 | GridSize: 36
Generation 75 | Revalues: 16720 | GridSize: 38
Generation 76 | Revalues: 16948 | GridSize: 35
Generation 77 | Revalues: 17170 | GridSize: 36
Generation 78 | Revalues: 17380 | GridSize: 36
Generation 79 | Revalues: 17610 | GridSize: 41
Generation 80 | Revalues: 17832 | GridSize: 39
Generation 81 | Revalues: 18060 | GridSize: 31
Generation 82 | Revalues: 18274 | GridSize: 26
Generation 83 | Revalues: 18480 | GridSize: 28
Generation 84 | Revalues: 18692 | GridSize: 26
Generation 85 | Revalues: 18902 | GridSize: 25
Generation 86 | Revalues: 19096 | GridSize: 34
Generation 87 | Revalues: 19326 | GridSize: 37
Generation 88 | Revalues: 19534 | GridSize: 33
Generation 89 | Revalues: 19772 | GridSize: 31
Generation 90 | Revalues: 19980 | GridSize: 30
Generation 91 | Revalues: 20174 | GridSize: 38
Generation 92 | Revalues: 20422 | GridSize: 33
Generation 93 | Revalues: 20624 | GridSize: 32
Generation 94 | Revalues: 20844 | GridSize: 45
Generation 95 | Revalues: 21080 | GridSize: 43
Generation 96 | Revalues: 21316 | GridSize: 39
Generation 97 | Revalues: 21532 | GridSize: 42
Generation 98 | Revalues: 21698 | GridSize: 32
Generation 99 | Revalues: 21904 | GridSize: 29
Generation 100 | Revalues: 22128 | GridSize: 31
Generation 101 | Revalues: 22342 | GridSize: 26
Generation 102 | Revalues: 22546 | GridSize: 24
Generation 103 | Revalues: 22788 | GridSize: 31
Generation 104 | Revalues: 23038 | GridSize: 42
Generation 105 | Revalues: 23258 | GridSize: 40
Generation 106 | Revalues: 23498 | GridSize: 34
Generation 107 | Revalues: 23732 | GridSize: 35
Generation 108 | Revalues: 23970 | GridSize: 44
Generation 109 | Revalues: 24188 | GridSize: 43
Generation 110 | Revalues: 24402 | GridSize: 35
Generation 111 | Revalues: 24636 | GridSize: 39
Generation 112 | Revalues: 24866 | GridSize: 36
Generation 113 | Revalues: 25102 | GridSize: 33
Generation 114 | Revalues: 25322 | GridSize: 35
Generation 115 | Revalues: 25526 | GridSize: 33
Generation 116 | Revalues: 25726 | GridSize: 37
Generation 117 | Revalues: 25908 | GridSize: 39
Generation 118 | Revalues: 26144 | GridSize: 39
Generation 119 | Revalues: 26378 | GridSize: 36
Generation 120 | Revalues: 26610 | GridSize: 43
Generation 121 | Revalues: 26798 | GridSize: 40
Generation 122 | Revalues: 27028 | GridSize: 47
Generation 123 | Revalues: 27242 | GridSize: 48
Generation 124 | Revalues: 27466 | GridSize: 58
Generation 125 | Revalues: 27688 | GridSize: 59
Generation 126 | Revalues: 27884 | GridSize: 53
Generation 127 | Revalues: 28104 | GridSize: 43
Generation 128 | Revalues: 28344 | GridSize: 35
Generation 129 | Revalues: 28560 | GridSize: 37
Generation 130 | Revalues: 28788 | GridSize: 37
Generation 131 | Revalues: 29012 | GridSize: 45
Generation 132 | Revalues: 29252 | GridSize: 41
Generation 133 | Revalues: 29472 | GridSize: 36
Generation 134 | Revalues: 29698 | GridSize: 47
Generation 135 | Revalues: 29920 | GridSize: 54
Generation 136 | Revalues: 30136 | GridSize: 54
Generation 137 | Revalues: 30354 | GridSize: 52
Generation 138 | Revalues: 30586 | GridSize: 50
Generation 139 | Revalues: 30816 | GridSize: 51
Generation 140 | Revalues: 31018 | GridSize: 43
Generation 141 | Revalues: 31248 | GridSize: 48
Generation 142 | Revalues: 31472 | GridSize: 50
Generation 143 | Revalues: 31684 | GridSize: 58
Generation 144 | Revalues: 31900 | GridSize: 47
Generation 145 | Revalues: 32124 | GridSize: 50
Generation 146 | Revalues: 32338 | GridSize: 40
Generation 147 | Revalues: 32552 | GridSize: 34
Generation 148 | Revalues: 32770 | GridSize: 40
Generation 149 | Revalues: 32996 | GridSize: 46
Generation 150 | Revalues: 33220 | GridSize: 51
Generation 151 | Revalues: 33444 | GridSize: 54
Generation 152 | Revalues: 33676 | GridSize: 53
Generation 153 | Revalues: 33892 | GridSize: 60
Generation 154 | Revalues: 34100 | GridSize: 49
Generation 155 | Revalues: 34300 | GridSize: 62
Generation 156 | Revalues: 34532 | GridSize: 59
Generation 157 | Revalues: 34736 | GridSize: 62
Generation 158 | Revalues: 34944 | GridSize: 52
Generation 159 | Revalues: 35166 | GridSize: 55
Generation 160 | Revalues: 35378 | GridSize: 49
Generation 161 | Revalues: 35614 | GridSize: 49
Generation 162 | Revalues: 35858 | GridSize: 46
Generation 163 | Revalues: 36070 | GridSize: 54
Generation 164 | Revalues: 36268 | GridSize: 37
Generation 165 | Revalues: 36490 | GridSize: 39
Generation 166 | Revalues: 36730 | GridSize: 36
Generation 167 | Revalues: 36952 | GridSize: 42
Generation 168 | Revalues: 37168 | GridSize: 49
Generation 169 | Revalues: 37400 | GridSize: 40
Generation 170 | Revalues: 37610 | GridSize: 48
Generation 171 | Revalues: 37832 | GridSize: 52
Generation 172 | Revalues: 38052 | GridSize: 51
Generation 173 | Revalues: 38276 | GridSize: 52
Generation 174 | Revalues: 38502 | GridSize: 49
Generation 175 | Revalues: 38726 | GridSize: 47
Generation 176 | Revalues: 38948 | GridSize: 52
Generation 177 | Revalues: 39156 | GridSize: 56
Generation 178 | Revalues: 39374 | GridSize: 46
Generation 179 | Revalues: 39576 | GridSize: 48
Generation 180 | Revalues: 39778 | GridSize: 39
Generation 181 | Revalues: 39986 | GridSize: 39
Generation 182 | Revalues: 40208 | GridSize: 49
Generation 183 | Revalues: 40430 | GridSize: 47
Generation 184 | Revalues: 40656 | GridSize: 44
Generation 185 | Revalues: 40890 | GridSize: 44
Generation 186 | Revalues: 41112 | GridSize: 47
Generation 187 | Revalues: 41352 | GridSize: 44
Generation 188 | Revalues: 41566 | GridSize: 53
Generation 189 | Revalues: 41800 | GridSize: 47
Generation 190 | Revalues: 42042 | GridSize: 49
Generation 191 | Revalues: 42236 | GridSize: 54
