,l5_r0.05,l5_r0.1,l5_r0.25,l5_r0.5,l5_r1.0,l10_r0.05,l10_r0.1,l10_r0.25,l10_r0.5,l10_r1.0,l25_r0.05,l25_r0.1,l25_r0.25,l25_r0.5,l25_r1.0,l50_r0.05,l50_r0.1,l50_r0.25,l50_r0.5,l50_r1.0,l100_r0.05,l100_r0.1,l100_r0.25,l100_r0.5,l100_r1.0
GAP,0.0062487622402797195,0.010658132760824687,0.013486211784346811,0.01220901480598203,0.001565706652941971,0.0024475807570510954,0.002599628016380127,0.00948736886399025,0.0008594471333579033,0.0029417343498707206,0.00801251044849775,0.0019002106234659714,0.0029402138772773585,0.005734842503746822,0.0031660040573811893,0.006598470936736689,0.0007834235036934963,0.004357294334224927,0.00424477936232157,0.008172160070793157,0.004621856565457534,0.0030861792462331594,0.0024567035926106153,0.008274791970840313,0.0
spearman,-0.12290470393135546,-0.0873467345096125,-0.12170898949348133,-0.06679477980376909,-0.09971189814800814,-0.035845125284325006,-0.0656732528568193,-0.09708572850016461,-0.10609918885483374,-0.0998632618961413,-0.10187049123221481,-0.13357110913634224,-0.07488013836112055,-0.12841666404182403,-0.19817031907754187,-0.10415399599185496,-0.1298141203832097,-0.157327830807571,-0.1294601069422645,-0.14824478462142207,-0.12705522255298116,-0.0788017835944699,-0.1458441719890283,-0.15934414032999822,-0.08644685683973272
