Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 282 | GridSize: 9
Generation 2 | Revalues: 488 | GridSize: 15
Generation 3 | Revalues: 654 | GridSize: 15
Generation 4 | Revalues: 868 | GridSize: 20
Generation 5 | Revalues: 1078 | GridSize: 10
Generation 6 | Revalues: 1284 | GridSize: 14
Generation 7 | Revalues: 1522 | GridSize: 18
Generation 8 | Revalues: 1714 | GridSize: 15
Generation 9 | Revalues: 1898 | GridSize: 18
Generation 10 | Revalues: 2070 | GridSize: 19
Generation 11 | Revalues: 2276 | GridSize: 20
Generation 12 | Revalues: 2470 | GridSize: 21
Generation 13 | Revalues: 2666 | GridSize: 25
Generation 14 | Revalues: 2842 | GridSize: 22
Generation 15 | Revalues: 3032 | GridSize: 24
Generation 16 | Revalues: 3214 | GridSize: 23
Generation 17 | Revalues: 3410 | GridSize: 26
Generation 18 | Revalues: 3602 | GridSize: 31
Generation 19 | Revalues: 3810 | GridSize: 34
Generation 20 | Revalues: 4016 | GridSize: 35
Generation 21 | Revalues: 4208 | GridSize: 37
Generation 22 | Revalues: 4412 | GridSize: 40
Generation 23 | Revalues: 4610 | GridSize: 48
Generation 24 | Revalues: 4812 | GridSize: 48
Generation 25 | Revalues: 5002 | GridSize: 51
Generation 26 | Revalues: 5210 | GridSize: 48
Generation 27 | Revalues: 5412 | GridSize: 48
Generation 28 | Revalues: 5606 | GridSize: 53
Generation 29 | Revalues: 5816 | GridSize: 62
Generation 30 | Revalues: 5992 | GridSize: 54
Generation 31 | Revalues: 6186 | GridSize: 58
Generation 32 | Revalues: 6392 | GridSize: 65
Generation 33 | Revalues: 6572 | GridSize: 65
Generation 34 | Revalues: 6786 | GridSize: 66
Generation 35 | Revalues: 6986 | GridSize: 69
Generation 36 | Revalues: 7180 | GridSize: 73
Generation 37 | Revalues: 7384 | GridSize: 70
Generation 38 | Revalues: 7566 | GridSize: 70
Generation 39 | Revalues: 7740 | GridSize: 72
Generation 40 | Revalues: 7952 | GridSize: 66
Generation 41 | Revalues: 8130 | GridSize: 72
Generation 42 | Revalues: 8346 | GridSize: 79
Generation 43 | Revalues: 8546 | GridSize: 79
Generation 44 | Revalues: 8748 | GridSize: 75
Generation 45 | Revalues: 8950 | GridSize: 70
Generation 46 | Revalues: 9152 | GridSize: 75
Generation 47 | Revalues: 9340 | GridSize: 77
Generation 48 | Revalues: 9536 | GridSize: 82
Generation 49 | Revalues: 9754 | GridSize: 75
Generation 50 | Revalues: 9978 | GridSize: 80
Generation 51 | Revalues: 10184 | GridSize: 85
Generation 52 | Revalues: 10386 | GridSize: 91
Generation 53 | Revalues: 10558 | GridSize: 89
Generation 54 | Revalues: 10768 | GridSize: 91
Generation 55 | Revalues: 10962 | GridSize: 91
Generation 56 | Revalues: 11158 | GridSize: 88
Generation 57 | Revalues: 11352 | GridSize: 93
Generation 58 | Revalues: 11552 | GridSize: 91
Generation 59 | Revalues: 11770 | GridSize: 92
Generation 60 | Revalues: 11956 | GridSize: 95
Generation 61 | Revalues: 12152 | GridSize: 93
Generation 62 | Revalues: 12356 | GridSize: 91
Generation 63 | Revalues: 12574 | GridSize: 101
Generation 64 | Revalues: 12798 | GridSize: 100
Generation 65 | Revalues: 12998 | GridSize: 99
Generation 66 | Revalues: 13220 | GridSize: 108
Generation 67 | Revalues: 13412 | GridSize: 108
Generation 68 | Revalues: 13594 | GridSize: 108
Generation 69 | Revalues: 13810 | GridSize: 114
Generation 70 | Revalues: 14022 | GridSize: 114
Generation 71 | Revalues: 14240 | GridSize: 115
Generation 72 | Revalues: 14452 | GridSize: 116
Generation 73 | Revalues: 14634 | GridSize: 108
Generation 74 | Revalues: 14852 | GridSize: 105
Generation 75 | Revalues: 15044 | GridSize: 109
