Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 312 | GridSize: 5
Generation 2 | Revalues: 520 | GridSize: 9
Generation 3 | Revalues: 754 | GridSize: 13
Generation 4 | Revalues: 968 | GridSize: 10
Generation 5 | Revalues: 1184 | GridSize: 14
Generation 6 | Revalues: 1418 | GridSize: 15
Generation 7 | Revalues: 1660 | GridSize: 20
Generation 8 | Revalues: 1876 | GridSize: 20
Generation 9 | Revalues: 2094 | GridSize: 19
Generation 10 | Revalues: 2340 | GridSize: 16
Generation 11 | Revalues: 2554 | GridSize: 8
Generation 12 | Revalues: 2788 | GridSize: 17
Generation 13 | Revalues: 3000 | GridSize: 21
Generation 14 | Revalues: 3190 | GridSize: 21
Generation 15 | Revalues: 3416 | GridSize: 19
Generation 16 | Revalues: 3634 | GridSize: 21
Generation 17 | Revalues: 3866 | GridSize: 20
Generation 18 | Revalues: 4106 | GridSize: 22
Generation 19 | Revalues: 4328 | GridSize: 17
Generation 20 | Revalues: 4538 | GridSize: 24
Generation 21 | Revalues: 4764 | GridSize: 17
Generation 22 | Revalues: 5000 | GridSize: 15
Generation 23 | Revalues: 5224 | GridSize: 15
Generation 24 | Revalues: 5432 | GridSize: 24
Generation 25 | Revalues: 5654 | GridSize: 22
Generation 26 | Revalues: 5878 | GridSize: 26
Generation 27 | Revalues: 6094 | GridSize: 31
Generation 28 | Revalues: 6322 | GridSize: 21
Generation 29 | Revalues: 6554 | GridSize: 21
Generation 30 | Revalues: 6762 | GridSize: 23
Generation 31 | Revalues: 6996 | GridSize: 31
Generation 32 | Revalues: 7204 | GridSize: 32
Generation 33 | Revalues: 7408 | GridSize: 40
Generation 34 | Revalues: 7628 | GridSize: 36
Generation 35 | Revalues: 7850 | GridSize: 34
Generation 36 | Revalues: 8086 | GridSize: 26
Generation 37 | Revalues: 8332 | GridSize: 31
Generation 38 | Revalues: 8542 | GridSize: 34
Generation 39 | Revalues: 8770 | GridSize: 36
Generation 40 | Revalues: 8988 | GridSize: 27
Generation 41 | Revalues: 9208 | GridSize: 38
Generation 42 | Revalues: 9450 | GridSize: 44
Generation 43 | Revalues: 9662 | GridSize: 35
Generation 44 | Revalues: 9898 | GridSize: 37
Generation 45 | Revalues: 10086 | GridSize: 31
Generation 46 | Revalues: 10324 | GridSize: 40
Generation 47 | Revalues: 10532 | GridSize: 38
Generation 48 | Revalues: 10772 | GridSize: 42
Generation 49 | Revalues: 10988 | GridSize: 39
Generation 50 | Revalues: 11220 | GridSize: 36
Generation 51 | Revalues: 11446 | GridSize: 44
Generation 52 | Revalues: 11668 | GridSize: 48
Generation 53 | Revalues: 11880 | GridSize: 51
Generation 54 | Revalues: 12100 | GridSize: 48
Generation 55 | Revalues: 12314 | GridSize: 38
Generation 56 | Revalues: 12526 | GridSize: 42
Generation 57 | Revalues: 12726 | GridSize: 46
Generation 58 | Revalues: 12972 | GridSize: 43
Generation 59 | Revalues: 13222 | GridSize: 33
Generation 60 | Revalues: 13438 | GridSize: 35
Generation 61 | Revalues: 13644 | GridSize: 37
Generation 62 | Revalues: 13876 | GridSize: 42
Generation 63 | Revalues: 14082 | GridSize: 41
Generation 64 | Revalues: 14302 | GridSize: 42
Generation 65 | Revalues: 14528 | GridSize: 36
Generation 66 | Revalues: 14746 | GridSize: 35
Generation 67 | Revalues: 14974 | GridSize: 37
Generation 68 | Revalues: 15210 | GridSize: 33
Generation 69 | Revalues: 15436 | GridSize: 41
Generation 70 | Revalues: 15656 | GridSize: 44
Generation 71 | Revalues: 15884 | GridSize: 32
Generation 72 | Revalues: 16092 | GridSize: 32
Generation 73 | Revalues: 16334 | GridSize: 40
Generation 74 | Revalues: 16534 | GridSize: 40
Generation 75 | Revalues: 16766 | GridSize: 38
