r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.853,0.737,0.993,0.945,0.973,0.991
50%,0.985,1.022,1.06,0.96,1.079,0.778
25%,0.579,0.987,1.03,1.133,1.096,0.938
10%,0.867,0.98,0.997,1.072,1.106,0.863
5%,0.723,1.008,1.023,1.092,1.102,1.085
