Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 340 | GridSize: 14
Generation 2 | Revalues: 578 | GridSize: 10
Generation 3 | Revalues: 798 | GridSize: 16
Generation 4 | Revalues: 1036 | GridSize: 15
Generation 5 | Revalues: 1262 | GridSize: 19
Generation 6 | Revalues: 1506 | GridSize: 12
Generation 7 | Revalues: 1722 | GridSize: 12
Generation 8 | Revalues: 1932 | GridSize: 16
Generation 9 | Revalues: 2154 | GridSize: 14
Generation 10 | Revalues: 2358 | GridSize: 13
Generation 11 | Revalues: 2570 | GridSize: 15
Generation 12 | Revalues: 2782 | GridSize: 16
Generation 13 | Revalues: 3044 | GridSize: 13
Generation 14 | Revalues: 3258 | GridSize: 22
Generation 15 | Revalues: 3474 | GridSize: 21
Generation 16 | Revalues: 3676 | GridSize: 22
Generation 17 | Revalues: 3872 | GridSize: 20
Generation 18 | Revalues: 4110 | GridSize: 31
Generation 19 | Revalues: 4330 | GridSize: 25
Generation 20 | Revalues: 4534 | GridSize: 28
Generation 21 | Revalues: 4770 | GridSize: 33
Generation 22 | Revalues: 4974 | GridSize: 24
Generation 23 | Revalues: 5214 | GridSize: 25
Generation 24 | Revalues: 5442 | GridSize: 25
Generation 25 | Revalues: 5648 | GridSize: 31
Generation 26 | Revalues: 5876 | GridSize: 23
Generation 27 | Revalues: 6068 | GridSize: 28
Generation 28 | Revalues: 6290 | GridSize: 26
Generation 29 | Revalues: 6500 | GridSize: 22
Generation 30 | Revalues: 6734 | GridSize: 24
Generation 31 | Revalues: 6948 | GridSize: 21
Generation 32 | Revalues: 7158 | GridSize: 24
Generation 33 | Revalues: 7392 | GridSize: 13
Generation 34 | Revalues: 7620 | GridSize: 23
Generation 35 | Revalues: 7850 | GridSize: 25
Generation 36 | Revalues: 8080 | GridSize: 26
Generation 37 | Revalues: 8300 | GridSize: 20
Generation 38 | Revalues: 8510 | GridSize: 24
Generation 39 | Revalues: 8734 | GridSize: 25
Generation 40 | Revalues: 8942 | GridSize: 30
Generation 41 | Revalues: 9154 | GridSize: 19
Generation 42 | Revalues: 9392 | GridSize: 20
Generation 43 | Revalues: 9600 | GridSize: 21
Generation 44 | Revalues: 9808 | GridSize: 32
Generation 45 | Revalues: 10024 | GridSize: 28
Generation 46 | Revalues: 10266 | GridSize: 27
Generation 47 | Revalues: 10490 | GridSize: 27
Generation 48 | Revalues: 10692 | GridSize: 29
Generation 49 | Revalues: 10906 | GridSize: 27
Generation 50 | Revalues: 11124 | GridSize: 23
Generation 51 | Revalues: 11364 | GridSize: 27
Generation 52 | Revalues: 11586 | GridSize: 25
Generation 53 | Revalues: 11816 | GridSize: 20
Generation 54 | Revalues: 12040 | GridSize: 23
Generation 55 | Revalues: 12250 | GridSize: 34
Generation 56 | Revalues: 12492 | GridSize: 25
Generation 57 | Revalues: 12686 | GridSize: 24
Generation 58 | Revalues: 12932 | GridSize: 26
Generation 59 | Revalues: 13144 | GridSize: 36
Generation 60 | Revalues: 13344 | GridSize: 35
Generation 61 | Revalues: 13560 | GridSize: 33
Generation 62 | Revalues: 13786 | GridSize: 38
Generation 63 | Revalues: 13978 | GridSize: 31
Generation 64 | Revalues: 14194 | GridSize: 35
Generation 65 | Revalues: 14414 | GridSize: 36
Generation 66 | Revalues: 14658 | GridSize: 31
Generation 67 | Revalues: 14876 | GridSize: 32
Generation 68 | Revalues: 15096 | GridSize: 32
Generation 69 | Revalues: 15302 | GridSize: 37
Generation 70 | Revalues: 15526 | GridSize: 35
Generation 71 | Revalues: 15722 | GridSize: 31
Generation 72 | Revalues: 15962 | GridSize: 25
Generation 73 | Revalues: 16178 | GridSize: 30
Generation 74 | Revalues: 16378 | GridSize: 40
Generation 75 | Revalues: 16596 | GridSize: 42
Generation 76 | Revalues: 16806 | GridSize: 43
Generation 77 | Revalues: 17044 | GridSize: 27
Generation 78 | Revalues: 17252 | GridSize: 31
Generation 79 | Revalues: 17444 | GridSize: 33
Generation 80 | Revalues: 17680 | GridSize: 46
Generation 81 | Revalues: 17916 | GridSize: 36
Generation 82 | Revalues: 18126 | GridSize: 39
Generation 83 | Revalues: 18334 | GridSize: 40
Generation 84 | Revalues: 18528 | GridSize: 41
Generation 85 | Revalues: 18746 | GridSize: 47
Generation 86 | Revalues: 18956 | GridSize: 46
Generation 87 | Revalues: 19170 | GridSize: 39
Generation 88 | Revalues: 19402 | GridSize: 44
Generation 89 | Revalues: 19594 | GridSize: 43
Generation 90 | Revalues: 19818 | GridSize: 39
Generation 91 | Revalues: 20030 | GridSize: 46
Generation 92 | Revalues: 20232 | GridSize: 37
Generation 93 | Revalues: 20452 | GridSize: 40
Generation 94 | Revalues: 20680 | GridSize: 45
Generation 95 | Revalues: 20890 | GridSize: 43
Generation 96 | Revalues: 21108 | GridSize: 44
Generation 97 | Revalues: 21342 | GridSize: 44
Generation 98 | Revalues: 21552 | GridSize: 46
Generation 99 | Revalues: 21764 | GridSize: 59
Generation 100 | Revalues: 22012 | GridSize: 57
Generation 101 | Revalues: 22212 | GridSize: 58
Generation 102 | Revalues: 22444 | GridSize: 60
Generation 103 | Revalues: 22680 | GridSize: 48
Generation 104 | Revalues: 22894 | GridSize: 55
Generation 105 | Revalues: 23126 | GridSize: 51
Generation 106 | Revalues: 23358 | GridSize: 48
Generation 107 | Revalues: 23600 | GridSize: 51
Generation 108 | Revalues: 23842 | GridSize: 47
