Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 32820 | GridSize: 300
Generation 2 | Revalues: 37250 | GridSize: 300
Generation 3 | Revalues: 42660 | GridSize: 296
Generation 4 | Revalues: 44670 | GridSize: 300
Generation 5 | Revalues: 47030 | GridSize: 300
Generation 6 | Revalues: 49150 | GridSize: 300
Generation 7 | Revalues: 50970 | GridSize: 300
Generation 8 | Revalues: 52430 | GridSize: 299
Generation 9 | Revalues: 54000 | GridSize: 300
Generation 10 | Revalues: 55910 | GridSize: 300
Generation 11 | Revalues: 57550 | GridSize: 300
Generation 12 | Revalues: 59300 | GridSize: 293
Generation 13 | Revalues: 60920 | GridSize: 296
Generation 14 | Revalues: 62250 | GridSize: 300
Generation 15 | Revalues: 63590 | GridSize: 300
Generation 16 | Revalues: 65020 | GridSize: 300
Generation 17 | Revalues: 66600 | GridSize: 300
Generation 18 | Revalues: 68550 | GridSize: 300
Generation 19 | Revalues: 70070 | GridSize: 300
Generation 20 | Revalues: 72430 | GridSize: 298
Generation 21 | Revalues: 73680 | GridSize: 299
Generation 22 | Revalues: 75840 | GridSize: 297
Generation 23 | Revalues: 77980 | GridSize: 298
Generation 24 | Revalues: 79560 | GridSize: 300
Generation 25 | Revalues: 81440 | GridSize: 300
Generation 26 | Revalues: 82920 | GridSize: 300
Generation 27 | Revalues: 84220 | GridSize: 300
Generation 28 | Revalues: 85710 | GridSize: 297
Generation 29 | Revalues: 87150 | GridSize: 298
Generation 30 | Revalues: 88540 | GridSize: 300
Generation 31 | Revalues: 89880 | GridSize: 299
Generation 32 | Revalues: 91120 | GridSize: 299
Generation 33 | Revalues: 92730 | GridSize: 300
Generation 34 | Revalues: 93890 | GridSize: 300
Generation 35 | Revalues: 95080 | GridSize: 300
Generation 36 | Revalues: 96120 | GridSize: 300
Generation 37 | Revalues: 97860 | GridSize: 295
Generation 38 | Revalues: 99300 | GridSize: 300
Generation 39 | Revalues: 100530 | GridSize: 300
Generation 40 | Revalues: 101730 | GridSize: 300
Generation 41 | Revalues: 103380 | GridSize: 300
Generation 42 | Revalues: 104800 | GridSize: 299
Generation 43 | Revalues: 105930 | GridSize: 300
Generation 44 | Revalues: 107330 | GridSize: 300
Generation 45 | Revalues: 108490 | GridSize: 300
Generation 46 | Revalues: 110110 | GridSize: 296
Generation 47 | Revalues: 111580 | GridSize: 300
Generation 48 | Revalues: 112820 | GridSize: 300
Generation 49 | Revalues: 114130 | GridSize: 299
Generation 50 | Revalues: 115180 | GridSize: 300
Generation 51 | Revalues: 116450 | GridSize: 300
Generation 52 | Revalues: 117730 | GridSize: 300
Generation 53 | Revalues: 118920 | GridSize: 300
Generation 54 | Revalues: 120510 | GridSize: 300
Generation 55 | Revalues: 121710 | GridSize: 300
Generation 56 | Revalues: 122970 | GridSize: 300
Generation 57 | Revalues: 124190 | GridSize: 300
Generation 58 | Revalues: 125340 | GridSize: 300
Generation 59 | Revalues: 126800 | GridSize: 300
Generation 60 | Revalues: 127900 | GridSize: 300
Generation 61 | Revalues: 129520 | GridSize: 300
Generation 62 | Revalues: 130850 | GridSize: 300
Generation 63 | Revalues: 133240 | GridSize: 300
Generation 64 | Revalues: 134510 | GridSize: 300
Generation 65 | Revalues: 135920 | GridSize: 300
Generation 66 | Revalues: 137030 | GridSize: 300
Generation 67 | Revalues: 138580 | GridSize: 298
Generation 68 | Revalues: 140020 | GridSize: 300
Generation 69 | Revalues: 141220 | GridSize: 300
Generation 70 | Revalues: 142540 | GridSize: 300
Generation 71 | Revalues: 143700 | GridSize: 300
Generation 72 | Revalues: 144880 | GridSize: 300
Generation 73 | Revalues: 146170 | GridSize: 299
Generation 74 | Revalues: 147370 | GridSize: 300
Generation 75 | Revalues: 148620 | GridSize: 300
Generation 76 | Revalues: 149720 | GridSize: 300
Generation 77 | Revalues: 150930 | GridSize: 299
Generation 78 | Revalues: 152560 | GridSize: 299
Generation 79 | Revalues: 153830 | GridSize: 300
Generation 80 | Revalues: 154990 | GridSize: 300
Generation 81 | Revalues: 156200 | GridSize: 300
Generation 82 | Revalues: 157350 | GridSize: 299
Generation 83 | Revalues: 158510 | GridSize: 300
Generation 84 | Revalues: 159690 | GridSize: 300
Generation 85 | Revalues: 160830 | GridSize: 300
Generation 86 | Revalues: 162000 | GridSize: 300
Generation 87 | Revalues: 163190 | GridSize: 300
Generation 88 | Revalues: 164410 | GridSize: 300
Generation 89 | Revalues: 165640 | GridSize: 300
Generation 90 | Revalues: 166760 | GridSize: 300
Generation 91 | Revalues: 168410 | GridSize: 300
Generation 92 | Revalues: 169690 | GridSize: 300
Generation 93 | Revalues: 171000 | GridSize: 300
Generation 94 | Revalues: 172290 | GridSize: 300
Generation 95 | Revalues: 173390 | GridSize: 300
Generation 96 | Revalues: 174930 | GridSize: 300
Generation 97 | Revalues: 176140 | GridSize: 300
Generation 98 | Revalues: 177290 | GridSize: 300
Generation 99 | Revalues: 178390 | GridSize: 300
Generation 100 | Revalues: 179530 | GridSize: 299
Generation 101 | Revalues: 180740 | GridSize: 300
Generation 102 | Revalues: 181950 | GridSize: 300
Generation 103 | Revalues: 183060 | GridSize: 300
Generation 104 | Revalues: 184240 | GridSize: 300
Generation 105 | Revalues: 185630 | GridSize: 300
Generation 106 | Revalues: 186860 | GridSize: 298
Generation 107 | Revalues: 188010 | GridSize: 300
Generation 108 | Revalues: 189230 | GridSize: 300
Generation 109 | Revalues: 190470 | GridSize: 300
Generation 110 | Revalues: 191820 | GridSize: 300
Generation 111 | Revalues: 193080 | GridSize: 295
Generation 112 | Revalues: 194270 | GridSize: 300
Generation 113 | Revalues: 195430 | GridSize: 300
Generation 114 | Revalues: 196670 | GridSize: 300
Generation 115 | Revalues: 197890 | GridSize: 300
Generation 116 | Revalues: 199310 | GridSize: 300
Generation 117 | Revalues: 200440 | GridSize: 300
Generation 118 | Revalues: 201730 | GridSize: 298
Generation 119 | Revalues: 202840 | GridSize: 300
Generation 120 | Revalues: 204020 | GridSize: 299
Generation 121 | Revalues: 205090 | GridSize: 300
Generation 122 | Revalues: 206310 | GridSize: 299
Generation 123 | Revalues: 207450 | GridSize: 300
Generation 124 | Revalues: 209030 | GridSize: 299
Generation 125 | Revalues: 210170 | GridSize: 300
Generation 126 | Revalues: 211250 | GridSize: 300
Generation 127 | Revalues: 212360 | GridSize: 300
Generation 128 | Revalues: 213500 | GridSize: 300
Generation 129 | Revalues: 214740 | GridSize: 300
Generation 130 | Revalues: 215940 | GridSize: 300
Generation 131 | Revalues: 217010 | GridSize: 300
Generation 132 | Revalues: 218280 | GridSize: 300
Generation 133 | Revalues: 219590 | GridSize: 300
Generation 134 | Revalues: 220600 | GridSize: 300
Generation 135 | Revalues: 221700 | GridSize: 300
Generation 136 | Revalues: 222770 | GridSize: 300
Generation 137 | Revalues: 223930 | GridSize: 300
Generation 138 | Revalues: 225290 | GridSize: 300
Generation 139 | Revalues: 226340 | GridSize: 298
Generation 140 | Revalues: 227550 | GridSize: 300
Generation 141 | Revalues: 228630 | GridSize: 300
Generation 142 | Revalues: 229790 | GridSize: 300
Generation 143 | Revalues: 230940 | GridSize: 297
Generation 144 | Revalues: 232110 | GridSize: 300
Generation 145 | Revalues: 233160 | GridSize: 300
Generation 146 | Revalues: 234330 | GridSize: 300
Generation 147 | Revalues: 235520 | GridSize: 297
Generation 148 | Revalues: 236700 | GridSize: 300
Generation 149 | Revalues: 237770 | GridSize: 300
Generation 150 | Revalues: 239140 | GridSize: 300
Generation 151 | Revalues: 240170 | GridSize: 298
Generation 152 | Revalues: 241420 | GridSize: 300
Generation 153 | Revalues: 242750 | GridSize: 300
Generation 154 | Revalues: 243750 | GridSize: 300
Generation 155 | Revalues: 245000 | GridSize: 300
Generation 156 | Revalues: 246300 | GridSize: 300
Generation 157 | Revalues: 247590 | GridSize: 300
Generation 158 | Revalues: 248630 | GridSize: 300
Generation 159 | Revalues: 250000 | GridSize: 300
Generation 160 | Revalues: 251410 | GridSize: 300
Generation 161 | Revalues: 252450 | GridSize: 300
Generation 162 | Revalues: 253910 | GridSize: 300
Generation 163 | Revalues: 254920 | GridSize: 300
Generation 164 | Revalues: 256210 | GridSize: 300
Generation 165 | Revalues: 257350 | GridSize: 300
Generation 166 | Revalues: 258560 | GridSize: 300
Generation 167 | Revalues: 259560 | GridSize: 300
Generation 168 | Revalues: 260640 | GridSize: 300
Generation 169 | Revalues: 261780 | GridSize: 300
Generation 170 | Revalues: 262850 | GridSize: 300
Generation 171 | Revalues: 263870 | GridSize: 300
Generation 172 | Revalues: 265230 | GridSize: 299
Generation 173 | Revalues: 266450 | GridSize: 300
Generation 174 | Revalues: 267920 | GridSize: 300
Generation 175 | Revalues: 269070 | GridSize: 300
Generation 176 | Revalues: 270130 | GridSize: 300
Generation 177 | Revalues: 271310 | GridSize: 300
Generation 178 | Revalues: 272410 | GridSize: 300
Generation 179 | Revalues: 273520 | GridSize: 300
Generation 180 | Revalues: 274680 | GridSize: 300
Generation 181 | Revalues: 275750 | GridSize: 300
Generation 182 | Revalues: 276840 | GridSize: 300
Generation 183 | Revalues: 278010 | GridSize: 300
Generation 184 | Revalues: 279190 | GridSize: 300
Generation 185 | Revalues: 280290 | GridSize: 300
Generation 186 | Revalues: 281390 | GridSize: 300
Generation 187 | Revalues: 282510 | GridSize: 300
Generation 188 | Revalues: 283630 | GridSize: 300
Generation 189 | Revalues: 284710 | GridSize: 299
Generation 190 | Revalues: 285780 | GridSize: 299
Generation 191 | Revalues: 286780 | GridSize: 300
Generation 192 | Revalues: 287790 | GridSize: 300
Generation 193 | Revalues: 288830 | GridSize: 300
Generation 194 | Revalues: 289880 | GridSize: 300
Generation 195 | Revalues: 291050 | GridSize: 300
Generation 196 | Revalues: 292140 | GridSize: 298
Generation 197 | Revalues: 293400 | GridSize: 299
Generation 198 | Revalues: 294590 | GridSize: 299
Generation 199 | Revalues: 295770 | GridSize: 300
Generation 200 | Revalues: 296800 | GridSize: 300
Generation 201 | Revalues: 297890 | GridSize: 300
Generation 202 | Revalues: 298950 | GridSize: 300
Generation 203 | Revalues: 300150 | GridSize: 300
Generation 204 | Revalues: 301210 | GridSize: 300
Generation 205 | Revalues: 302490 | GridSize: 300
Generation 206 | Revalues: 303660 | GridSize: 300
Generation 207 | Revalues: 304730 | GridSize: 300
Generation 208 | Revalues: 305980 | GridSize: 300
Generation 209 | Revalues: 307080 | GridSize: 300
Generation 210 | Revalues: 308190 | GridSize: 300
Generation 211 | Revalues: 309230 | GridSize: 299
Generation 212 | Revalues: 310260 | GridSize: 299
Generation 213 | Revalues: 311410 | GridSize: 300
Generation 214 | Revalues: 312540 | GridSize: 300
Generation 215 | Revalues: 313570 | GridSize: 300
Generation 216 | Revalues: 314700 | GridSize: 300
Generation 217 | Revalues: 315820 | GridSize: 299
Generation 218 | Revalues: 316970 | GridSize: 300
Generation 219 | Revalues: 318010 | GridSize: 300
Generation 220 | Revalues: 319090 | GridSize: 300
Generation 221 | Revalues: 320090 | GridSize: 300
Generation 222 | Revalues: 321120 | GridSize: 300
Generation 223 | Revalues: 322130 | GridSize: 300
Generation 224 | Revalues: 323180 | GridSize: 300
Generation 225 | Revalues: 324200 | GridSize: 300
Generation 226 | Revalues: 325220 | GridSize: 300
Generation 227 | Revalues: 326510 | GridSize: 300
Generation 228 | Revalues: 327590 | GridSize: 300
Generation 229 | Revalues: 329020 | GridSize: 300
Generation 230 | Revalues: 330140 | GridSize: 300
Generation 231 | Revalues: 331330 | GridSize: 299
Generation 232 | Revalues: 332410 | GridSize: 300
Generation 233 | Revalues: 333470 | GridSize: 300
Generation 234 | Revalues: 334540 | GridSize: 300
Generation 235 | Revalues: 335640 | GridSize: 300
Generation 236 | Revalues: 336680 | GridSize: 300
Generation 237 | Revalues: 337710 | GridSize: 300
Generation 238 | Revalues: 338740 | GridSize: 300
Generation 239 | Revalues: 339770 | GridSize: 300
Generation 240 | Revalues: 340900 | GridSize: 300
Generation 241 | Revalues: 341950 | GridSize: 300
Generation 242 | Revalues: 343040 | GridSize: 300
Generation 243 | Revalues: 344130 | GridSize: 300
Generation 244 | Revalues: 345230 | GridSize: 300
Generation 245 | Revalues: 346300 | GridSize: 299
Generation 246 | Revalues: 347330 | GridSize: 300
Generation 247 | Revalues: 348390 | GridSize: 300
Generation 248 | Revalues: 349430 | GridSize: 300
Generation 249 | Revalues: 350560 | GridSize: 300
Generation 250 | Revalues: 351660 | GridSize: 298
Generation 251 | Revalues: 352720 | GridSize: 300
Generation 252 | Revalues: 353760 | GridSize: 300
Generation 253 | Revalues: 354800 | GridSize: 300
Generation 254 | Revalues: 355840 | GridSize: 300
Generation 255 | Revalues: 356860 | GridSize: 298
Generation 256 | Revalues: 358160 | GridSize: 300
Generation 257 | Revalues: 359240 | GridSize: 300
Generation 258 | Revalues: 360260 | GridSize: 300
Generation 259 | Revalues: 361500 | GridSize: 300
Generation 260 | Revalues: 362560 | GridSize: 300
Generation 261 | Revalues: 363760 | GridSize: 300
Generation 262 | Revalues: 364780 | GridSize: 300
Generation 263 | Revalues: 365850 | GridSize: 300
Generation 264 | Revalues: 366910 | GridSize: 300
Generation 265 | Revalues: 367940 | GridSize: 300
Generation 266 | Revalues: 369000 | GridSize: 300
Generation 267 | Revalues: 370140 | GridSize: 300
Generation 268 | Revalues: 371250 | GridSize: 300
Generation 269 | Revalues: 372470 | GridSize: 300
Generation 270 | Revalues: 373550 | GridSize: 299
Generation 271 | Revalues: 374560 | GridSize: 300
Generation 272 | Revalues: 375610 | GridSize: 300
Generation 273 | Revalues: 376710 | GridSize: 300
Generation 274 | Revalues: 377730 | GridSize: 300
Generation 275 | Revalues: 378760 | GridSize: 300
Generation 276 | Revalues: 379840 | GridSize: 300
Generation 277 | Revalues: 380870 | GridSize: 300
Generation 278 | Revalues: 381900 | GridSize: 300
Generation 279 | Revalues: 382960 | GridSize: 300
Generation 280 | Revalues: 384050 | GridSize: 300
Generation 281 | Revalues: 385060 | GridSize: 300
Generation 282 | Revalues: 386130 | GridSize: 300
Generation 283 | Revalues: 387190 | GridSize: 300
Generation 284 | Revalues: 388240 | GridSize: 300
Generation 285 | Revalues: 389290 | GridSize: 300
Generation 286 | Revalues: 390330 | GridSize: 299
Generation 287 | Revalues: 391340 | GridSize: 300
Generation 288 | Revalues: 392380 | GridSize: 297
Generation 289 | Revalues: 393430 | GridSize: 300
Generation 290 | Revalues: 394530 | GridSize: 300
Generation 291 | Revalues: 395640 | GridSize: 299
Generation 292 | Revalues: 396790 | GridSize: 300
Generation 293 | Revalues: 397860 | GridSize: 300
Generation 294 | Revalues: 398940 | GridSize: 300
Generation 295 | Revalues: 399970 | GridSize: 300
Generation 296 | Revalues: 401030 | GridSize: 300
Generation 297 | Revalues: 402040 | GridSize: 300
