r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.9977554202,0.997964194,0.9977289741,0.9980364594,0.9979433907,0.9976769470
50%,0.9976899218,0.9972956029,0.9980062217,0.998094274,0.99741132,0.9979162214
25%,0.9975034715,0.997708189,0.9978886964,0.9975728331,0.9979146206,0.9976829887
10%,0.9978704225,0.9975019117,0.9976223489,0.997639079,0.9979405204,0.9978265617
5%,0.9980736053,0.9979482122,0.9981125627,0.9978877371,0.9977157597,0.9976665644
