r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.085333608,0.0921646744,0.0991187376,0.0924851528,0.0950398764,0.0893673494
50%,0.0975441684,0.1113117539,0.0969772144,0.0970873051,0.1087601178,0.0845564682
25%,0.0990097644,0.0998809108,0.0892122889,0.1007199837,0.1071774695,0.0926165028
10%,0.0886124536,0.1098296823,0.1133951448,0.1044888982,0.0964414043,0.0947650267
5%,0.0937958973,0.0978626065,0.096540094,0.1086154548,0.1048753679,0.1026896230
