r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0019684446,0.0019819325,0.0019505495,0.001860407,0.0019134002,0.0020226649
50%,0.0020195902,0.0021531401,0.0019699925,0.0018937832,0.0021107377,0.0019180766
25%,0.0020589829,0.0020378023,0.0019303381,0.0020770062,0.0019756916,0.0020120757
10%,0.0019491875,0.0020396618,0.002079602,0.0020315164,0.0019571871,0.0019810251
5%,0.00188792,0.0019230405,0.0018764554,0.0019229938,0.0019976247,0.0020383567
