r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,3.8748e-06,3.9281e-06,3.8046e-06,3.4611e-06,3.6611e-06,0.0000040912
50%,4.0787e-06,4.636e-06,3.8809e-06,3.5864e-06,4.4552e-06,0.0000036790
25%,4.2394e-06,4.1526e-06,3.7262e-06,4.314e-06,3.9034e-06,0.0000040484
10%,3.7993e-06,4.1602e-06,4.3247e-06,4.1271e-06,3.8306e-06,0.0000039245
5%,3.5642e-06,3.6981e-06,3.5211e-06,3.6979e-06,3.9905e-06,0.0000041549
