r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0005743104,0.0006191342,0.0006650242,0.0006230639,0.0006415981,0.0005995813
50%,0.0006463516,0.0007349414,0.0006484552,0.0006497118,0.0007252533,0.0005725572
25%,0.0006572128,0.000669073,0.0006030085,0.0006686163,0.0007177531,0.0006259331
10%,0.0005929603,0.0007311898,0.0007532809,0.0006983345,0.0006514595,0.0006356889
5%,0.0006302649,0.0006613618,0.0006531573,0.0007288362,0.0007006527,0.0006979286
