Feature,Importance
INF_sd,0.15906908630359257
IND_sd,0.12245613713780237
INC_sk,0.10637063050792758
INC_sd,0.08351764230230219
SUP_r1,0.07993564690271576
IND_kr,0.07205339949331983
INC_r1,0.06529971752552204
INC_avg,0.05345012147690827
IND_avg,0.042007321242620736
INF_avg,0.04133421720437741
INC_kr,0.03337647866745194
IND_sk,0.03330879844907558
INF_sk,0.025278242101075737
IND_r1,0.02038448865310592
INF_r1,0.013176846414082262
SUP_sk,0.011497035252919625
SUP_kr,0.011370425352363479
INF_kr,0.011057008446719124
SUP_avg,0.00896125258460803
SUP_sd,0.006095503981509623
