Feature,Importance
IND_avg,0.23903164105754002
INC_avg,0.20433331233998964
INF_sd,0.1725722075788903
SUP_avg,0.09828452131871131
IND_r1,0.051122797281585565
SUP_sd,0.0461069043152278
INC_sd,0.037041157935203704
INF_avg,0.03322452829179381
INF_r1,0.02339457981072659
SUP_r1,0.020127703997215963
IND_sd,0.01797911648516288
SUP_sk,0.010045839544290747
INF_kr,0.009002865904243157
SUP_kr,0.008418823348476595
INF_sk,0.00802188498905755
IND_kr,0.005730604491677001
INC_kr,0.004372778353178986
INC_sk,0.003901928865747211
IND_sk,0.0037210691236316414
INC_r1,0.0035657349676495036
