Feature,Importance
INC_sd,0.14925513011321992
IND_r1,0.14029424867111542
IND_avg,0.1054740316015115
INF_sk,0.09954022719528118
INC_avg,0.09374126834014401
INF_avg,0.06600007806158481
INC_r1,0.05581751758995588
INF_kr,0.05557100753183948
IND_kr,0.05295861233476428
INF_sd,0.04274974156585356
SUP_sd,0.02845685626855377
SUP_kr,0.018274116497994243
SUP_sk,0.0179935957593857
IND_sd,0.016488568232277234
INF_r1,0.014039169183194058
INC_kr,0.010927603596810302
INC_sk,0.0107165921055051
SUP_r1,0.007971411967693928
IND_sk,0.007384939735707636
SUP_avg,0.0063452836476079275
