Feature,Importance
SUP_avg,0.2617970023680129
INC_sk,0.15936802271068382
SUP_sd,0.11571092104282536
IND_r1,0.07743951248611443
IND_kr,0.06742112495021788
INF_r1,0.05509633885477174
SUP_kr,0.05118562190357001
INC_sd,0.03370346339207016
INC_avg,0.03313257017414824
IND_sk,0.022262410290277656
INF_avg,0.021924627526893514
INC_kr,0.019177800628434473
INC_r1,0.013787784253904953
INF_sd,0.01335458580096849
SUP_r1,0.013113265214856363
INF_sk,0.010529495701524122
SUP_sk,0.009221627547532472
INF_kr,0.009026460981151068
IND_avg,0.007251064452272047
IND_sd,0.005496299719770214
