Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 29430 | GridSize: 300
Generation 2 | Revalues: 33890 | GridSize: 298
Generation 3 | Revalues: 40230 | GridSize: 297
Generation 4 | Revalues: 43950 | GridSize: 300
Generation 5 | Revalues: 45880 | GridSize: 300
Generation 6 | Revalues: 47530 | GridSize: 297
Generation 7 | Revalues: 50170 | GridSize: 295
Generation 8 | Revalues: 53080 | GridSize: 300
Generation 9 | Revalues: 55120 | GridSize: 299
Generation 10 | Revalues: 56530 | GridSize: 300
Generation 11 | Revalues: 58700 | GridSize: 300
Generation 12 | Revalues: 61370 | GridSize: 293
Generation 13 | Revalues: 62800 | GridSize: 300
Generation 14 | Revalues: 64070 | GridSize: 300
Generation 15 | Revalues: 66950 | GridSize: 300
Generation 16 | Revalues: 68530 | GridSize: 298
Generation 17 | Revalues: 69970 | GridSize: 300
Generation 18 | Revalues: 71230 | GridSize: 300
Generation 19 | Revalues: 73070 | GridSize: 300
Generation 20 | Revalues: 74470 | GridSize: 298
Generation 21 | Revalues: 76000 | GridSize: 300
Generation 22 | Revalues: 77490 | GridSize: 300
Generation 23 | Revalues: 78800 | GridSize: 300
Generation 24 | Revalues: 80650 | GridSize: 297
Generation 25 | Revalues: 82040 | GridSize: 297
Generation 26 | Revalues: 83290 | GridSize: 300
Generation 27 | Revalues: 84750 | GridSize: 300
Generation 28 | Revalues: 85970 | GridSize: 299
Generation 29 | Revalues: 87500 | GridSize: 297
Generation 30 | Revalues: 88890 | GridSize: 300
Generation 31 | Revalues: 90230 | GridSize: 300
Generation 32 | Revalues: 91440 | GridSize: 299
Generation 33 | Revalues: 92920 | GridSize: 292
Generation 34 | Revalues: 94270 | GridSize: 299
Generation 35 | Revalues: 95600 | GridSize: 297
Generation 36 | Revalues: 96840 | GridSize: 300
Generation 37 | Revalues: 97980 | GridSize: 298
Generation 38 | Revalues: 99560 | GridSize: 295
Generation 39 | Revalues: 101220 | GridSize: 300
Generation 40 | Revalues: 102680 | GridSize: 299
Generation 41 | Revalues: 104240 | GridSize: 299
Generation 42 | Revalues: 105950 | GridSize: 300
Generation 43 | Revalues: 107390 | GridSize: 299
Generation 44 | Revalues: 109180 | GridSize: 297
Generation 45 | Revalues: 110760 | GridSize: 298
Generation 46 | Revalues: 112040 | GridSize: 300
Generation 47 | Revalues: 113370 | GridSize: 300
Generation 48 | Revalues: 114580 | GridSize: 300
