,r0.05,r0.1,r0.25,r0.5,r1.0
GAP,0.09682517165308027,0.004975267807539087,0.10807673522513436,0.08053637485468432,0.0
spearman,-0.1111275847271165,-0.19312749021035294,-0.5040127678009431,-0.49423281734070224,-0.5787087345820561
