,r0.05,r0.1,r0.25,r0.5,r1.0
GAP,1.5177529674143129,1.7331515450905215,1.1596481213814327,0.6134286084948459,0.0
spearman,-0.008302561410123343,0.1077610686228607,0.13060669688481033,-0.0007485043670036675,0.09713266796201027
