r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.945,0.928,1.009,0.972,1.073,0.959
50%,1.03,1.087,0.972,1.035,1.096,0.913
25%,0.859,1.054,1.0,0.994,1.048,0.998
10%,0.936,1.074,1.063,1.028,1.059,0.958
5%,0.98,1.056,1.048,1.073,1.075,1.054
