Feature,Importance
IND_avg,0.2187074242014971
IND_sd,0.11407666245779405
IND_kr,0.09610300322597524
INC_avg,0.08255906021734888
INC_r1,0.060444572738373996
INF_r1,0.056744732193930156
INC_sd,0.04378839394648461
INF_sd,0.0402430718525565
INF_sk,0.0340656523439721
INF_avg,0.031584055310662766
SUP_avg,0.031074855870892888
SUP_r1,0.03098991511876199
IND_sk,0.029886983267385675
INC_kr,0.028767868466800593
SUP_sk,0.028326734526814036
IND_r1,0.02441725269644887
INF_kr,0.01485638017869997
SUP_sd,0.013554880340446385
INC_sk,0.01075655737141618
SUP_kr,0.009051943673738055
