Feature,Importance
INF_sd,0.19280859821812257
INF_kr,0.16855949787962943
INC_sd,0.11604623526932686
INF_avg,0.08986972983140085
IND_avg,0.07427195645418545
INC_avg,0.06575883133183023
INC_r1,0.05662569504048178
INF_r1,0.046193358029469354
INC_kr,0.03850594019659304
IND_sk,0.032862594441081354
IND_kr,0.023975252086285447
SUP_avg,0.017015541422792005
INF_sk,0.016652044610245567
IND_r1,0.016205873418766278
SUP_r1,0.013277932406841482
INC_sk,0.00978813511034922
IND_sd,0.00902168957273138
SUP_sd,0.005340884815335015
SUP_kr,0.0036226925371728425
SUP_sk,0.003597517327359897
