Feature,Importance
SUP_sd,0.2115666384763996
IND_sd,0.09884459032363058
INC_r1,0.09663211221374983
INF_sk,0.09562200847092474
INC_avg,0.09349292455709918
IND_r1,0.056692846040190245
SUP_r1,0.05456742197410067
IND_avg,0.04935058137636654
SUP_avg,0.04077537665406597
IND_kr,0.040639594882498846
INF_r1,0.0291269162752139
INC_sk,0.02843329662307517
INF_sd,0.020897437093340927
INF_kr,0.018659289612187106
INC_sd,0.016691926118476245
SUP_sk,0.01309879053721485
INF_avg,0.012920839649491917
INC_kr,0.009001952541206549
SUP_kr,0.007187146539854653
IND_sk,0.0057983100409124775
