Feature,Importance
SUP_avg,0.1534506090603001
SUP_sd,0.09364206668436383
INF_r1,0.07566112033108865
INC_sk,0.07133756731871285
INC_avg,0.05973859894566833
INF_sk,0.0558321127676189
IND_kr,0.0466379152837386
INF_sd,0.04489181109731102
IND_sk,0.042561168206093125
SUP_r1,0.03872007098896009
SUP_kr,0.03734438972994245
SUP_sk,0.036658683527252996
INC_sd,0.036554851380358286
IND_r1,0.03580535108193758
INF_avg,0.03504149371858928
INC_kr,0.0338560285746177
INC_r1,0.02673080832274558
IND_sd,0.026676595293114395
IND_avg,0.025177878792765274
INF_kr,0.023680878894820893
