Feature,Importance
INF_avg,0.10961284508225404
SUP_sd,0.10832490277858492
INC_avg,0.09313056374183613
INF_sk,0.08475223516505119
SUP_avg,0.07027492042669496
INC_kr,0.05866394372244505
SUP_sk,0.05509248982898685
INC_sk,0.04465227384654509
IND_sk,0.04336473947480693
INF_kr,0.03977122674375019
SUP_r1,0.037557530078907046
IND_r1,0.03568401033813865
INC_sd,0.03495295794890067
IND_avg,0.03114581135178746
INC_r1,0.028074922494109002
INF_r1,0.02682564391744968
SUP_kr,0.025612161559242987
IND_kr,0.025201361767523238
INF_sd,0.02501560518014623
IND_sd,0.022289854552839602
