Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 328 | GridSize: 12
Generation 2 | Revalues: 554 | GridSize: 14
Generation 3 | Revalues: 768 | GridSize: 14
Generation 4 | Revalues: 990 | GridSize: 15
Generation 5 | Revalues: 1226 | GridSize: 11
Generation 6 | Revalues: 1412 | GridSize: 15
Generation 7 | Revalues: 1618 | GridSize: 18
Generation 8 | Revalues: 1834 | GridSize: 21
Generation 9 | Revalues: 2060 | GridSize: 18
Generation 10 | Revalues: 2278 | GridSize: 12
Generation 11 | Revalues: 2510 | GridSize: 16
Generation 12 | Revalues: 2720 | GridSize: 16
Generation 13 | Revalues: 2924 | GridSize: 23
Generation 14 | Revalues: 3106 | GridSize: 20
Generation 15 | Revalues: 3326 | GridSize: 19
Generation 16 | Revalues: 3538 | GridSize: 17
Generation 17 | Revalues: 3754 | GridSize: 20
Generation 18 | Revalues: 3990 | GridSize: 18
Generation 19 | Revalues: 4210 | GridSize: 22
Generation 20 | Revalues: 4458 | GridSize: 26
Generation 21 | Revalues: 4670 | GridSize: 30
Generation 22 | Revalues: 4896 | GridSize: 25
Generation 23 | Revalues: 5120 | GridSize: 32
Generation 24 | Revalues: 5320 | GridSize: 23
Generation 25 | Revalues: 5540 | GridSize: 20
Generation 26 | Revalues: 5730 | GridSize: 26
Generation 27 | Revalues: 5946 | GridSize: 28
Generation 28 | Revalues: 6166 | GridSize: 27
Generation 29 | Revalues: 6384 | GridSize: 30
Generation 30 | Revalues: 6596 | GridSize: 27
Generation 31 | Revalues: 6806 | GridSize: 28
Generation 32 | Revalues: 7048 | GridSize: 37
Generation 33 | Revalues: 7260 | GridSize: 39
Generation 34 | Revalues: 7492 | GridSize: 32
Generation 35 | Revalues: 7732 | GridSize: 32
Generation 36 | Revalues: 7978 | GridSize: 26
Generation 37 | Revalues: 8226 | GridSize: 30
Generation 38 | Revalues: 8422 | GridSize: 35
Generation 39 | Revalues: 8636 | GridSize: 29
Generation 40 | Revalues: 8852 | GridSize: 33
Generation 41 | Revalues: 9062 | GridSize: 31
Generation 42 | Revalues: 9284 | GridSize: 34
Generation 43 | Revalues: 9516 | GridSize: 36
Generation 44 | Revalues: 9730 | GridSize: 36
Generation 45 | Revalues: 9956 | GridSize: 28
Generation 46 | Revalues: 10180 | GridSize: 28
Generation 47 | Revalues: 10376 | GridSize: 26
Generation 48 | Revalues: 10596 | GridSize: 28
Generation 49 | Revalues: 10808 | GridSize: 34
Generation 50 | Revalues: 11022 | GridSize: 32
Generation 51 | Revalues: 11222 | GridSize: 39
Generation 52 | Revalues: 11450 | GridSize: 31
Generation 53 | Revalues: 11676 | GridSize: 33
Generation 54 | Revalues: 11886 | GridSize: 30
Generation 55 | Revalues: 12118 | GridSize: 37
Generation 56 | Revalues: 12314 | GridSize: 33
Generation 57 | Revalues: 12538 | GridSize: 33
Generation 58 | Revalues: 12768 | GridSize: 32
Generation 59 | Revalues: 12994 | GridSize: 42
Generation 60 | Revalues: 13246 | GridSize: 35
Generation 61 | Revalues: 13476 | GridSize: 39
Generation 62 | Revalues: 13698 | GridSize: 27
Generation 63 | Revalues: 13908 | GridSize: 37
Generation 64 | Revalues: 14120 | GridSize: 42
Generation 65 | Revalues: 14354 | GridSize: 48
Generation 66 | Revalues: 14596 | GridSize: 44
Generation 67 | Revalues: 14796 | GridSize: 43
Generation 68 | Revalues: 15030 | GridSize: 40
Generation 69 | Revalues: 15246 | GridSize: 36
Generation 70 | Revalues: 15472 | GridSize: 45
Generation 71 | Revalues: 15692 | GridSize: 45
Generation 72 | Revalues: 15890 | GridSize: 51
Generation 73 | Revalues: 16126 | GridSize: 49
Generation 74 | Revalues: 16346 | GridSize: 51
Generation 75 | Revalues: 16542 | GridSize: 54
Generation 76 | Revalues: 16784 | GridSize: 51
Generation 77 | Revalues: 17012 | GridSize: 48
Generation 78 | Revalues: 17230 | GridSize: 44
Generation 79 | Revalues: 17466 | GridSize: 40
