Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD,COMOLSD
480,0.24045,0.0309684921,0.0411610728,2.9418861959,0.2595582018,0.25845,0.0308277067,-0.0253912475,3.7082124988,0.0771951779,0.5011,0.0400348598,0.0004048874,2.9979922797,-0.0744230337,0.03755,0.012399496,-0.0175363196,3.1183640829,0.5054052369,0.92468695955,0.9132822619499998,0.9082702916500001
119,0.2339,0.0341875708,0.2375054754,3.8365212337,0.2058616368,0.2543,0.0387428703,0.3818238431,2.9548479938,-0.1141383293,0.5118,0.0444326457,0.1452882665,2.7441310558,0.0150266762,0.03765,0.0095250984,0.1070354165,2.1402896348,0.2706085373,0.8327681365,0.82486545485,0.8159008948499998
5,0.28065,0.030876002,0.0090719071,2.5108863912,0.0258022168,0.23725,0.0344192896,-0.1197749947,2.4198980008,-0.1964822731,0.4821,0.0305055733,0.0153028084,2.3327863844,0.1136220018,0.0365,0.00988686,-0.0476411327,3.8345968433,0.0923491868,0.8504057331999999,0.8446508521,0.8345892128999999
243,0.2448,0.0378940629,0.4107651111,2.5014005129,0.3741031698,0.2604,0.0453854602,0.4496213288,2.5165129475,0.0505218778,0.4948,0.038935331,-0.024145286,2.6569999477,-0.0718417415,0.0371,0.0095178779,-0.0570329523,3.3314074769,0.6930004404,0.717345699885,0.7083628491999999,0.6968762018500001
138,0.2544,0.0337955618,-0.0603610827,3.4357298889,-0.1083940903,0.24545,0.0291898527,0.0712698459,2.885890242,-0.0696230724,0.50015,0.0352310587,0.0569793098,2.5797586361,0.0722092764,0.03955,0.0096719957,0.0147419609,2.8136103394,0.2101371998,0.77136142537,0.7642714561350001,0.75720365155
110,0.2239,0.0310288575,-0.1407105726,2.4971841292,-0.1164534418,0.26645,0.0317119457,0.140951741,3.772934376,0.474855485,0.50965,0.0383096267,-0.0479003939,2.7410797653,-0.2301977449,0.0395,0.0108050914,0.0776074489,3.9011825447,0.4560067733,0.8507644043500001,0.83738059235,0.8236211002999999
326,0.2534,0.0371677279,0.0911035475,3.1998663071,0.3810013303,0.2248,0.0331581061,0.3642751791,3.3651778721,-0.1690480054,0.5218,0.0382002618,0.1254875084,2.566999143,-0.0004634749,0.0434,0.0100717426,0.0024261821,2.5335852991,0.1698265719,0.8747246079,0.8724587750499999,0.8705323138000001
292,0.2523,0.0301116257,0.2979588642,2.7966129889,0.3002117156,0.21885,0.0360753032,0.2971977776,2.7902809235,0.1659807609,0.52885,0.0356149898,0.0515734392,2.9828932148,0.3552591965,0.04255,0.009810581,0.0578035238,4.0014701341,0.501327307,0.7569400357000001,0.7562293501499999,0.7525964130499998
96,0.24305,0.036379218,0.3848591317,2.3522569691,0.0856422969,0.3482,0.0415242098,0.2002447937,3.1601706507,0.1491907083,0.40875,0.038680583,0.1016770063,2.7530531607,0.071041375,0.03265,0.0094195276,0.0698560935,5.7056950875,0.9269963012,0.9145862559499998,0.9094861516,0.90756437345
396,0.2516,0.0337852039,-0.1652102306,4.2984407704,0.6906607667,0.2576,0.0273082405,-0.1035945544,3.2247348294,-0.2888235752,0.4908,0.0375813784,-0.0954623462,3.0310986577,-0.0237888699,0.034,0.0110679718,0.0236613722,3.3719616826,0.0597421552,0.877468359415,0.867053427615,0.8613581901999998
56,0.25885,0.029015987,0.0384588749,2.8005390187,0.1211624483,0.23585,0.0315915732,-0.0825856982,2.5783475647,0.1999148086,0.5053,0.0307312544,-0.0469725664,2.5069400318,0.0477210688,0.03635,0.0092697087,0.1597122571,3.0079197783,0.3933135521,0.8241595438500001,0.80294542255,0.7938626095499999
7,0.22235,0.0360239851,0.0233054358,3.0260722575,-0.1634399686,0.32545,0.035623693,0.3417284984,2.6331170926,-0.0826079932,0.4522,0.0435736159,0.1611795453,3.3284618877,0.0544919046,0.03215,0.0098299288,0.114436737,3.6103161627,0.5901661309,0.7755841849999999,0.775282124,0.76788354075
200,0.2471,0.0347,0.3279783251,3.2625833132,0.3319610732,0.26805,0.0388773392,0.2650777404,2.8549409405,-0.0347911925,0.48485,0.0375196948,-0.0094460376,2.5092374171,0.245936086,0.0375,0.0095262794,0.0475534114,2.6130956447,0.0650657704,0.862294476,0.8590402225,0.85635014045
234,0.24685,0.0282635366,0.1340773406,3.0090012703,0.3056745694,0.2509,0.0320576044,-0.172939865,2.6495731569,0.1827881899,0.50225,0.0331464553,-0.0367470228,3.3737027061,-0.3381272396,0.0373,0.0109412065,0.0503151093,2.4400813996,0.251443795,0.929870385755,0.921690925855,0.9175705943000001
90,0.27265,0.0319488263,-0.0156150007,2.9801661456,0.2845770992,0.2743,0.0284870146,0.0125890386,4.2288360597,0.7902894434,0.45305,0.0334506726,0.2077360033,2.5870172595,0.0505485085,0.0324,0.008731552,0.1012336953,2.5779424119,0.2812825925,0.8095966846,0.80241572385,0.7990015576999999
93,0.25135,0.0298902576,0.0473056182,2.8919755357,-0.0180526402,0.22295,0.0292069769,-0.0187524775,3.8977640623,0.5992833244,0.5257,0.0350001429,0.0025133827,3.3898020486,-0.1923676503,0.0407,0.0099503769,-0.0400697798,2.9183278358,0.2402955424,0.7913719349499999,0.7745123953500002,0.7639277426500001
350,0.2561,0.0310369135,0.0754325579,2.2059472361,0.2169011288,0.2145,0.0321753011,0.3187860874,3.0032357351,0.2155692585,0.5294,0.0316249901,0.1805104187,4.1682829903,-0.289509978,0.03455,0.0101512315,-0.12372717,3.1728035338,0.337414278,0.8021913997300001,0.790764898915,0.7790671469
226,0.24245,0.0394936387,0.4765602,3.7639656922,0.3581552338,0.26975,0.0504101924,0.5490546614,2.9287593134,-0.033940549,0.4878,0.0482406468,0.5790776524,2.1587836943,0.0336030603,0.0424,0.0100119928,0.4007241588,2.8424227186,-0.3667309767,0.8457386994650001,0.8444745637500002,0.8435681424500002
233,0.2462,0.0307987013,0.1054633864,2.5913688542,0.4519500224,0.25325,0.0336405633,0.0393780523,2.700088295,-0.2162963066,0.50055,0.0389608457,0.1314884745,2.5617837009,-0.0497295227,0.03115,0.0086560672,0.0279057934,2.9816366859,0.2331706776,0.7727533987499998,0.7693582263500002,0.76237180165
254,0.28705,0.0397561002,0.3766896725,4.0802113409,-0.0501736575,0.21725,0.0323602766,0.2102502077,3.153102747,0.1501697446,0.4957,0.0391408993,0.1875418779,2.6289870821,-0.0312280071,0.03795,0.008546783,0.0454921212,4.5997309475,0.7954355924,0.8567985629600001,0.84893113156,0.8451570976999999
213,0.2453,0.034437044,0.2088738854,2.5251461425,-0.1012469018,0.2301,0.036537515,0.249061017,3.3577431307,0.2309377752,0.5246,0.0338576432,-0.147087108,2.5360914241,0.1486168431,0.03705,0.0103945899,-0.0698859403,3.0742328674,-0.0461729262,0.71136888125,0.71077118515,0.70193342225
222,0.27145,0.0458600861,0.6654929412,2.5053013191,0.1992680667,0.21445,0.0382811638,0.4092558357,2.4752977984,0.0480739947,0.5141,0.0394675816,0.4298472808,2.6520774748,-0.1184729094,0.03905,0.0106699344,0.3240580571,2.8596715918,0.2791307234,0.7837289184499999,0.7816055409,0.7767424974
3,0.24195,0.032248217,0.3067342076,2.8735887271,0.0749972657,0.2401,0.0385161005,0.2584103036,2.8080555925,-0.2596342731,0.51795,0.0353701498,0.1342577087,2.722294496,0.0529112121,0.0335,0.0099121138,-0.0286842173,3.269331624,0.2187161059,0.8316528390000002,0.82450008265,0.8221221569999999
44,0.23305,0.0291881397,-0.0347885211,2.7355955857,0.3031177742,0.264,0.030273751,0.2341618122,2.7899368104,-0.2920972866,0.50295,0.0348933733,0.199915672,4.2580363798,0.7195070622,0.03515,0.0098095617,-0.1720474382,2.5515849544,0.1170022749,0.805919231105,0.8002798561550002,0.7932309295550001
438,0.25865,0.0339032078,0.1574278207,2.7698845307,-0.1477088707,0.22525,0.0291665476,0.0880887468,2.9484382543,-0.2990244895,0.5161,0.0397591499,0.1676556661,2.8123679607,0.3707516424,0.0397,0.0113758516,0.0255247588,5.8422827321,1.0318222161,0.8528544913599999,0.8437304583599999,0.8356115161500002
382,0.263,0.0323496522,0.2100749956,3.5411570295,0.3102891119,0.25165,0.0350717479,0.2101821845,2.9265062165,-0.1235970179,0.48535,0.0442733272,0.305300983,2.8196168129,0.1320337967,0.0307,0.0092200868,0.0118490871,3.0211783245,0.377821077,0.7296298729299998,0.7315528070499999,0.72851268085
123,0.24095,0.0300224499,-0.0101791162,3.5231880868,0.6514642335,0.2576,0.0304506158,0.0757218649,2.9696395738,0.4008301893,0.50145,0.0381398414,0.0363604254,3.8393826267,-0.6966383904,0.03545,0.0112715349,-0.1513754181,2.7713152434,0.2598739282,0.7855017738400001,0.7722983866199999,0.76484461415
B,0.2371,0.0362986226,0.357950944,2.9972987723,-0.285563867,0.27835,0.0329549313,0.19901844,3.4909216072,0.2105779915,0.48455,0.0341620769,0.1031347772,2.85826576,-0.0282964548,0.0392,0.0101173119,-0.2820061145,2.9498531033,0.2039149859,0.8080799377999999,0.8099421690999999,0.8032206596500002
198,0.2476,0.0338118322,-0.0102257818,2.8259735377,0.2032115911,0.28665,0.0374703549,0.1176461348,3.1685864688,0.0209909553,0.46575,0.0419068908,0.0770551569,3.715927433,-0.0248054904,0.03725,0.0094174041,0.0748320776,2.6836619303,0.414530953,0.8622261531500003,0.8563279401499999,0.8530926739499998
335,0.23555,0.0332332289,0.2004809264,2.9039554985,0.2539547382,0.28705,0.0449671825,0.2026468085,3.0978116449,0.3224007878,0.4774,0.0413913034,0.0527487817,3.2914291192,0.0828596786,0.0324,0.0098101988,0.099797881,2.7589297745,0.2523456613,0.8755884097000001,0.8712970913,0.8699451167
410,0.2578,0.0454825241,0.4757854104,2.9635393762,0.2328812636,0.23855,0.0442396598,0.5422102192,2.3734362387,0.0506492374,0.50365,0.0445356879,0.3886214905,2.5117071186,-0.0733687935,0.03925,0.0105918601,0.108760065,4.7600043451,0.7839888043,0.9120029379349998,0.909443987835,0.90790432095
363,0.3229,0.0640085151,0.706081726,2.512811021,0.1547421825,0.2035,0.0619939513,0.7284537361,2.3282940505,0.3784464912,0.4736,0.0394973417,0.255322071,3.6287260537,0.3525367899,0.0362,0.0104431796,0.1823944412,2.5805266074,0.2332498586,0.7569288413499999,0.7582969361,0.75333158405
145,0.2655,0.0302861354,0.0102763671,5.125014625,0.9263513014,0.21975,0.0281990691,0.0182366437,4.5748651786,-0.2292163539,0.51475,0.0324065966,0.0600424094,2.4634977263,0.2082950579,0.03865,0.0107901576,-0.1252324363,3.3780061851,0.2668546291,0.9199522374100002,0.91053334771,0.9060569706000001
319,0.25395,0.036015934,0.2348104997,2.5927145256,0.0103476705,0.2662,0.0371626156,0.2782395752,3.1122701768,0.3100697026,0.47985,0.0398400238,0.1193150928,2.6227964211,0.2687270814,0.0372,0.0095739229,-0.0278644236,3.2681546736,0.4978612087,0.8360839787,0.8305408919499999,0.8227143953999999
208,0.25265,0.0341207781,0.5084528877,2.7928360449,-0.194036368,0.24745,0.0330037498,0.2087392852,2.9531863657,-0.2812833287,0.4999,0.0394143375,0.2704168209,2.6880967532,0.0560764394,0.03775,0.0099341582,0.0150313179,3.3338923113,0.473064072,0.79055263225,0.7890665547000001,0.7855401475000001
369,0.2631,0.0328540713,0.3949468909,2.2815706724,0.1402016831,0.2695,0.0385259653,0.3628901592,2.732419136,0.062982926,0.4674,0.033484922,0.0563622832,3.1609326534,0.4494183652,0.03275,0.0098075226,0.0021429675,2.3060960827,0.0444222799,0.7519797525049999,0.7458190906550001,0.7398560318549999
283,0.25235,0.0323145091,-0.0225626242,3.7325611209,0.5088792491,0.2898,0.0399244286,0.2860445714,2.4248124489,0.1237293936,0.45785,0.0377243622,0.2811823409,3.3785426718,0.061474598,0.02765,0.0099109788,-0.1033642958,2.9287295502,0.2868237845,0.8221917746299999,0.8163686932650001,0.8131228143000001
E,0.2325,0.0508453538,0.6395679087,2.327386203,0.174593821,0.26225,0.040548582,0.4559112859,2.527634296,0.504565177,0.50525,0.0415774879,0.246588971,2.8272118932,-0.0449781492,0.03845,0.0105046418,0.0594282037,3.138319975,0.3153917025,0.81737021311,0.818336169,0.8114408556599999
264,0.23165,0.0299420691,0.2882044603,2.6411825633,0.0902979002,0.2465,0.0290129282,0.0655648465,3.2088576303,0.0572750414,0.52185,0.033336579,0.089550825,3.4095225298,0.3795644846,0.03375,0.0103531396,-0.0060480897,2.8537514131,0.369600986,0.8522970193499999,0.84570522115,0.8422624224999999
414,0.2766,0.0333232651,0.1473951054,3.0014443854,-0.3110979282,0.19045,0.0292069769,0.0758016551,2.4090024406,0.2109997069,0.53295,0.0391541505,0.2415330987,2.5508620206,0.0980106679,0.03845,0.0098411127,-0.1798618562,2.9274538604,0.0344299568,0.8062862630050001,0.7999238746550001,0.794743153505
171,0.2362,0.0299259085,0.07529254,2.6450829856,0.0472662272,0.2408,0.0361919881,-0.0385677973,2.6970146281,-0.1089340662,0.523,0.0384642691,0.0848452327,2.8852597531,-0.1220393247,0.04015,0.0102823879,-0.1837602687,3.0068312653,0.4495034887,0.8908660938649999,0.881192545465,0.8762355275500002
265,0.27975,0.0377384088,0.3415191588,3.0270589681,0.2519585198,0.2254,0.0372537246,0.1625792595,2.3825703356,0.1136223788,0.49485,0.0383174569,0.0980937242,2.5875708281,-0.271878524,0.03425,0.0105682307,-0.2616935054,2.4537161224,0.2482072388,0.84520453145,0.8385789978499998,0.83613797345
343,0.22565,0.0292374332,0.0837061732,2.8031008303,-0.1149698967,0.2518,0.0341285804,0.2150226937,2.8737293014,0.0012443271,0.52255,0.0341869493,-0.0277840956,3.4760759993,0.1638994083,0.0374,0.0094731199,0.0035037191,2.5900601142,0.0177010767,0.8180139343,0.8156427505500001,0.81279782915
436,0.26705,0.0523550141,0.6779820052,2.4701909596,0.1948865186,0.2727,0.046127107,0.5445100562,4.1383426908,0.262681114,0.46025,0.044555443,0.397885724,3.2629153182,0.121958541,0.03645,0.0104951179,0.1390998894,2.415688478,0.3473667205,0.69257041041,0.6947350225500001,0.6918581978
449,0.24645,0.0325291792,0.1547643465,2.5701059535,0.1372070851,0.26865,0.0337257691,0.1325090514,2.7144153055,0.1073442517,0.4849,0.0310079022,0.0509387829,2.7881268733,0.1396484074,0.0362,0.0100029996,0.2799923135,3.1045972856,0.2003756349,0.8538724497500001,0.8427157831000001,0.83641308875
271,0.23385,0.0271924162,0.1056892711,2.7828123979,0.0568859586,0.2155,0.0298035233,0.0772780675,2.5542592572,-0.1232388668,0.55065,0.0302874149,0.0377492602,2.8679142948,0.1321715976,0.0387,0.0115676272,-0.0145646357,2.8131569446,0.0704557932,0.78205006898,0.77950112848,0.7771167048000002
29,0.2657,0.0306840349,-0.0072392751,2.8155732126,-0.2547658629,0.2246,0.0307545119,0.1340749623,2.7695453082,-0.1830573728,0.5097,0.0371269444,0.0576699245,2.9090825084,0.0131036817,0.03855,0.0102052682,0.0060919533,2.3030118088,-0.155392818,0.7600718032599999,0.7390664598099999,0.7313131948
2,0.2484,0.0328243812,0.120394934,2.8908586124,0.2334371338,0.2555,0.030062435,-0.0074903099,2.7929250529,0.1860305433,0.4961,0.0365005479,0.1369504022,2.4480177651,-0.0490010604,0.03855,0.0102541455,0.1355815561,3.3494218611,0.3447329074,0.7832124549699999,0.7740756488,0.7682244172000001
300,0.257,0.031503968,0.1524509507,2.5069030322,0.1020862168,0.257,0.0352420204,0.287476518,3.5435618879,0.4254569174,0.486,0.0349642675,0.143495144,3.1736705685,0.2202423804,0.034,0.0081240384,-0.0778488726,3.414600551,0.4643906251,0.8554637974499999,0.8468143889500002,0.8342146261
423,0.27225,0.0447178656,0.5228193961,2.771913629,0.1035203186,0.2666,0.0458305575,0.4339595694,2.540954477,0.1022579326,0.46115,0.04204673,0.1308343581,4.2812539258,-0.6495157115,0.03245,0.0105236638,0.3150670618,2.6920210077,0.2102584056,0.7498625947550001,0.7508968275000001,0.7485090297000001
404,0.2668,0.0326459798,-0.0353420695,2.2835186918,0.0514924081,0.2549,0.0254458248,0.0434507355,3.2216504101,-0.2341752496,0.4783,0.0349658405,-0.1003602281,3.0867621943,-0.1459026052,0.0317,0.0086666026,0.0466806487,4.1447156871,0.6905707397,0.8491443531499998,0.8423415035499999,0.8328240385500001
248,0.26335,0.0402309272,0.3159652191,2.872343705,0.2292480211,0.25655,0.0511844459,0.4608682232,2.7693304331,-0.2542947329,0.4801,0.0505666886,0.4854548959,2.270335303,-0.1020862287,0.0359,0.0097308787,0.1074485462,4.8090250558,0.5601243025,0.8113280414000001,0.8110976964499997,0.8104536778999998
42,0.31655,0.0421704577,0.2481930711,3.4473997884,-0.0950984828,0.208,0.0357770876,0.277048593,2.3988787842,-0.0194236569,0.47545,0.0386593779,-0.111713759,2.9634918723,0.0652238172,0.04165,0.0111142926,0.2160065264,2.923581576,0.5319292716,0.7077447106000001,0.7062541246999999,0.7030443388500001
448,0.24565,0.0310777654,-0.1230086426,2.6463879471,0.296597908,0.24595,0.0378793809,0.1745414842,3.0197670235,-0.018931026,0.5084,0.0391080554,0.0229774395,3.2105692186,-0.2910231641,0.03595,0.0100422856,-0.0938451391,2.7914379039,0.2942289507,0.8928956970499999,0.88381300265,0.8776619878499998
320,0.24725,0.0307601609,0.0998347865,2.6323793551,0.1170969878,0.24135,0.0280611386,0.1349648216,2.7441839396,0.0335899928,0.5114,0.0351715794,-0.0823858745,2.9624296064,0.3262382951,0.0374,0.0098610344,0.0790513509,3.254800321,0.4052072923,0.812840630825,0.808586438375,0.8043048875500001
191,0.25495,0.0355351586,-0.0557412373,2.3844860013,0.0710502547,0.27125,0.0319951168,-0.0566420977,2.5285219208,-0.0283800329,0.4738,0.036360143,-0.1506598162,3.9895675648,0.0787626608,0.0316,0.0109517122,0.0389475199,2.9577792064,0.4626338993,0.8792978301,0.86968326335,0.8624317122
260,0.2831,0.0299481218,-0.0035421277,3.64721614,0.1966343403,0.2304,0.029779859,0.0891462091,2.1665601265,-0.1282383882,0.4865,0.0368476594,0.1268146211,2.8455125128,-0.0902610068,0.0357,0.0101493842,-0.0048130272,3.6984117826,0.4407855183,0.8210545730549998,0.8195034752,0.8112680743
188,0.26875,0.0346365053,0.3344020018,2.9260754621,-0.2263488249,0.2205,0.0325461211,0.0699716828,3.1591695132,0.3310709951,0.51075,0.0338922926,0.055580608,2.5364785593,0.1951183853,0.03425,0.0125772612,0.0083501113,3.8828767456,0.8256042545,0.71304694072,0.7086470802500001,0.6964135334499999
432,0.25125,0.0303345925,-0.0431827065,2.9578816268,-0.4933598414,0.22745,0.0312769484,0.1327263365,4.1935811391,0.5636713455,0.5213,0.0356694547,0.0513921572,2.7777665706,0.2651521278,0.03395,0.0102541455,-0.0495168304,3.7849321191,0.6595471383,0.6950282698000001,0.6569465471700001,0.63673603085
310,0.2269,0.0335766288,0.2401052296,2.5162247838,0.1859651892,0.23295,0.0436983695,0.3902849265,2.4817033424,0.0537615193,0.54015,0.035081726,0.0200841693,3.0277991582,-0.2055556677,0.03825,0.0104253297,0.3145725288,2.9241386175,0.0196087642,0.8191037529149998,0.8155475295500001,0.8129424979
21,0.24755,0.0306960502,0.0292548622,3.402211503,-0.2353994966,0.24375,0.038074762,0.1973613561,3.5033401686,0.4248825285,0.5087,0.0355149264,0.0804065688,2.5725367716,-0.3231630037,0.0418,0.0117796435,0.1452325729,2.8767017776,0.2721640919,0.69814495145,0.6938265556000001,0.6891230304500001
117,0.25075,0.0405670741,0.3418780263,3.2122256717,0.1414084554,0.24685,0.031286219,0.0591760077,3.7349406452,-0.097475595,0.5024,0.0435286113,0.0392027951,3.2036629988,0.3401201774,0.03645,0.0117536165,0.0920072402,2.3416358586,0.2277220524,0.8567169558000002,0.8539134150000001,0.8515286814999999
252,0.26335,0.0329245729,0.2207681274,3.4438792692,0.1156919607,0.22925,0.0308656362,-0.0141365564,2.6488740438,0.0301890671,0.5074,0.0376860717,0.1381425955,2.9310340535,-0.0464200368,0.04015,0.0107344073,0.0655080825,2.0206218234,0.2521582368,0.8439992313999998,0.8368048308,0.8252853763499999
176,0.25725,0.0435337513,0.3241996359,2.9844625889,0.3073748278,0.23595,0.0487939289,0.4174334406,2.9263943689,0.4347041784,0.5068,0.0466771893,0.2371977946,3.3732283525,-0.3869887701,0.03855,0.0106605581,0.0987566594,3.0211495169,0.0092157062,0.6801244229,0.68119041635,0.6799256827
270,0.25065,0.0358096007,0.1176265104,2.6781258439,0.3151796945,0.2638,0.0405963053,0.1772878459,3.0570824225,0.0409496747,0.48555,0.0395278067,0.2092815078,2.498452485,-0.1364870143,0.03775,0.0086998563,0.0378495441,3.3783825803,0.457167492,0.78409980195,0.77876973375,0.7722621332000001
189,0.25955,0.0300007917,0.1726108435,2.6227320139,-0.1234566984,0.22155,0.0325168802,0.2448988554,2.7112947919,-0.0752331651,0.5189,0.037333497,0.3877956529,3.369797651,-0.0001760736,0.0401,0.0108392804,0.0406104925,3.2180434064,0.4100896005,0.7389509711150001,0.7411726536000001,0.72815952295
