Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 322 | GridSize: 9
Generation 2 | Revalues: 554 | GridSize: 14
Generation 3 | Revalues: 768 | GridSize: 10
Generation 4 | Revalues: 1008 | GridSize: 16
Generation 5 | Revalues: 1230 | GridSize: 20
Generation 6 | Revalues: 1446 | GridSize: 14
Generation 7 | Revalues: 1678 | GridSize: 9
Generation 8 | Revalues: 1912 | GridSize: 8
Generation 9 | Revalues: 2144 | GridSize: 16
Generation 10 | Revalues: 2360 | GridSize: 10
Generation 11 | Revalues: 2578 | GridSize: 16
Generation 12 | Revalues: 2798 | GridSize: 13
Generation 13 | Revalues: 3042 | GridSize: 19
Generation 14 | Revalues: 3296 | GridSize: 22
Generation 15 | Revalues: 3500 | GridSize: 27
Generation 16 | Revalues: 3694 | GridSize: 18
Generation 17 | Revalues: 3898 | GridSize: 24
Generation 18 | Revalues: 4130 | GridSize: 27
Generation 19 | Revalues: 4340 | GridSize: 24
Generation 20 | Revalues: 4562 | GridSize: 33
Generation 21 | Revalues: 4786 | GridSize: 28
Generation 22 | Revalues: 5040 | GridSize: 27
Generation 23 | Revalues: 5268 | GridSize: 27
Generation 24 | Revalues: 5502 | GridSize: 29
Generation 25 | Revalues: 5724 | GridSize: 25
Generation 26 | Revalues: 5940 | GridSize: 32
Generation 27 | Revalues: 6144 | GridSize: 41
Generation 28 | Revalues: 6358 | GridSize: 26
Generation 29 | Revalues: 6574 | GridSize: 35
Generation 30 | Revalues: 6788 | GridSize: 31
Generation 31 | Revalues: 7012 | GridSize: 35
Generation 32 | Revalues: 7238 | GridSize: 36
Generation 33 | Revalues: 7480 | GridSize: 38
Generation 34 | Revalues: 7712 | GridSize: 41
Generation 35 | Revalues: 7938 | GridSize: 39
Generation 36 | Revalues: 8174 | GridSize: 39
Generation 37 | Revalues: 8378 | GridSize: 34
Generation 38 | Revalues: 8600 | GridSize: 37
Generation 39 | Revalues: 8820 | GridSize: 42
Generation 40 | Revalues: 9026 | GridSize: 46
Generation 41 | Revalues: 9256 | GridSize: 38
Generation 42 | Revalues: 9466 | GridSize: 49
Generation 43 | Revalues: 9690 | GridSize: 40
Generation 44 | Revalues: 9914 | GridSize: 45
Generation 45 | Revalues: 10154 | GridSize: 36
Generation 46 | Revalues: 10366 | GridSize: 42
Generation 47 | Revalues: 10610 | GridSize: 34
Generation 48 | Revalues: 10810 | GridSize: 37
Generation 49 | Revalues: 11014 | GridSize: 35
Generation 50 | Revalues: 11226 | GridSize: 30
Generation 51 | Revalues: 11426 | GridSize: 29
Generation 52 | Revalues: 11678 | GridSize: 30
Generation 53 | Revalues: 11902 | GridSize: 33
Generation 54 | Revalues: 12122 | GridSize: 32
Generation 55 | Revalues: 12338 | GridSize: 38
Generation 56 | Revalues: 12550 | GridSize: 45
Generation 57 | Revalues: 12792 | GridSize: 46
Generation 58 | Revalues: 12994 | GridSize: 49
Generation 59 | Revalues: 13206 | GridSize: 44
Generation 60 | Revalues: 13412 | GridSize: 44
Generation 61 | Revalues: 13626 | GridSize: 45
Generation 62 | Revalues: 13862 | GridSize: 38
Generation 63 | Revalues: 14106 | GridSize: 35
Generation 64 | Revalues: 14332 | GridSize: 36
Generation 65 | Revalues: 14556 | GridSize: 35
Generation 66 | Revalues: 14764 | GridSize: 35
