Generation 0 | Revalues: 100 | GridSize: 2
Generation 1 | Revalues: 8940 | GridSize: 94
Generation 2 | Revalues: 12200 | GridSize: 104
Generation 3 | Revalues: 14980 | GridSize: 101
Generation 4 | Revalues: 16570 | GridSize: 112
Generation 5 | Revalues: 19080 | GridSize: 124
Generation 6 | Revalues: 20620 | GridSize: 130
Generation 7 | Revalues: 22860 | GridSize: 142
Generation 8 | Revalues: 24400 | GridSize: 151
Generation 9 | Revalues: 25610 | GridSize: 156
Generation 10 | Revalues: 27500 | GridSize: 157
Generation 11 | Revalues: 29940 | GridSize: 151
Generation 12 | Revalues: 31440 | GridSize: 160
Generation 13 | Revalues: 32520 | GridSize: 166
Generation 14 | Revalues: 34940 | GridSize: 166
Generation 15 | Revalues: 36040 | GridSize: 165
Generation 16 | Revalues: 37230 | GridSize: 173
Generation 17 | Revalues: 39260 | GridSize: 162
Generation 18 | Revalues: 40610 | GridSize: 157
Generation 19 | Revalues: 41910 | GridSize: 162
Generation 20 | Revalues: 42940 | GridSize: 167
Generation 21 | Revalues: 43950 | GridSize: 169
Generation 22 | Revalues: 45000 | GridSize: 173
Generation 23 | Revalues: 47000 | GridSize: 167
Generation 24 | Revalues: 48550 | GridSize: 172
Generation 25 | Revalues: 49670 | GridSize: 167
Generation 26 | Revalues: 50800 | GridSize: 176
Generation 27 | Revalues: 51920 | GridSize: 178
Generation 28 | Revalues: 52970 | GridSize: 174
Generation 29 | Revalues: 54280 | GridSize: 177
Generation 30 | Revalues: 55350 | GridSize: 185
Generation 31 | Revalues: 56900 | GridSize: 182
Generation 32 | Revalues: 58120 | GridSize: 193
Generation 33 | Revalues: 59260 | GridSize: 195
Generation 34 | Revalues: 60390 | GridSize: 192
Generation 35 | Revalues: 61610 | GridSize: 187
Generation 36 | Revalues: 63250 | GridSize: 186
Generation 37 | Revalues: 64260 | GridSize: 184
Generation 38 | Revalues: 65330 | GridSize: 192
Generation 39 | Revalues: 66430 | GridSize: 184
Generation 40 | Revalues: 68040 | GridSize: 185
Generation 41 | Revalues: 69090 | GridSize: 183
Generation 42 | Revalues: 70170 | GridSize: 184
Generation 43 | Revalues: 71250 | GridSize: 186
Generation 44 | Revalues: 72260 | GridSize: 193
Generation 45 | Revalues: 73440 | GridSize: 195
Generation 46 | Revalues: 74490 | GridSize: 193
Generation 47 | Revalues: 75720 | GridSize: 185
Generation 48 | Revalues: 76830 | GridSize: 186
Generation 49 | Revalues: 78370 | GridSize: 183
Generation 50 | Revalues: 79390 | GridSize: 191
Generation 51 | Revalues: 80450 | GridSize: 182
Generation 52 | Revalues: 81480 | GridSize: 179
Generation 53 | Revalues: 82920 | GridSize: 187
Generation 54 | Revalues: 83940 | GridSize: 189
Generation 55 | Revalues: 84970 | GridSize: 186
Generation 56 | Revalues: 85990 | GridSize: 188
Generation 57 | Revalues: 87050 | GridSize: 197
Generation 58 | Revalues: 88110 | GridSize: 197
Generation 59 | Revalues: 89130 | GridSize: 200
Generation 60 | Revalues: 90300 | GridSize: 198
Generation 61 | Revalues: 91400 | GridSize: 200
Generation 62 | Revalues: 92420 | GridSize: 198
Generation 63 | Revalues: 93540 | GridSize: 190
Generation 64 | Revalues: 94870 | GridSize: 188
Generation 65 | Revalues: 95880 | GridSize: 188
Generation 66 | Revalues: 96990 | GridSize: 190
Generation 67 | Revalues: 98020 | GridSize: 190
Generation 68 | Revalues: 99050 | GridSize: 188
Generation 69 | Revalues: 100150 | GridSize: 180
Generation 70 | Revalues: 101190 | GridSize: 192
Generation 71 | Revalues: 102230 | GridSize: 194
Generation 72 | Revalues: 103240 | GridSize: 198
Generation 73 | Revalues: 104280 | GridSize: 200
Generation 74 | Revalues: 105390 | GridSize: 207
Generation 75 | Revalues: 106580 | GridSize: 208
Generation 76 | Revalues: 107910 | GridSize: 208
Generation 77 | Revalues: 108920 | GridSize: 211
Generation 78 | Revalues: 109970 | GridSize: 209
Generation 79 | Revalues: 111080 | GridSize: 215
Generation 80 | Revalues: 112130 | GridSize: 218
Generation 81 | Revalues: 113170 | GridSize: 213
Generation 82 | Revalues: 114210 | GridSize: 218
Generation 83 | Revalues: 115300 | GridSize: 219
Generation 84 | Revalues: 116350 | GridSize: 222
Generation 85 | Revalues: 117360 | GridSize: 223
Generation 86 | Revalues: 118400 | GridSize: 221
Generation 87 | Revalues: 119530 | GridSize: 220
Generation 88 | Revalues: 120620 | GridSize: 222
Generation 89 | Revalues: 121640 | GridSize: 224
Generation 90 | Revalues: 122650 | GridSize: 228
Generation 91 | Revalues: 123670 | GridSize: 227
