Feature,Importance
INF_sd,0.21776901710644644
SUP_sd,0.13222987606703587
INC_sd,0.11701393993015613
INF_r1,0.11692624515705256
IND_avg,0.10290502883349088
SUP_avg,0.06142518816658545
INF_avg,0.04327693489186137
INC_avg,0.035577951367111324
SUP_r1,0.032215798460374506
INC_kr,0.025996452999188534
IND_sk,0.022532700841604733
IND_kr,0.019026083871167804
SUP_sk,0.014854536463802626
INC_r1,0.013486966594613648
IND_sd,0.013245399996552916
SUP_kr,0.01013848953970537
IND_r1,0.006316045233635735
INF_kr,0.005302877169156027
INC_sk,0.00520398885876996
INF_sk,0.004556478451688099
