Feature,Importance
INF_sd,0.35731699071628875
INC_avg,0.10489688975531719
INF_avg,0.08393507670671577
IND_avg,0.08008564541424351
IND_r1,0.07604436231760735
INC_sk,0.057781030036033965
SUP_sd,0.04586617116325033
INF_kr,0.04325852416380635
SUP_r1,0.038199910894855596
SUP_avg,0.018934790021565746
IND_sk,0.01880953903011654
INC_kr,0.013916615109786565
INF_r1,0.010406354890873404
IND_kr,0.008764931850071747
INC_sd,0.008218417251952295
SUP_sk,0.007954698051718086
INC_r1,0.007612299817550743
IND_sd,0.006372651001627769
SUP_kr,0.00603670663067091
INF_sk,0.005588395175947392
