,r0.05,r0.1,r0.25,r0.5,r1.0
GAP,0.26453431130444705,0.030831162619477357,0.012399489312047275,0.03020641481856788,0.0
spearman,0.008669432222830366,0.10539275404940028,0.10106861565859923,0.07354576201340324,-0.12265090646339186
