,r0.05,r0.1,r0.25,r0.5,r1.0
GAP,0.6953006155857129,0.3480610418282135,0.054237188751029126,0.00938718700729237,0.0
spearman,0.033627130604113535,-0.07547643041511402,-0.23232018187552794,-0.18011790899361216,-0.2281001440390615
