r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.863,0.861,0.91,0.97,1.046,0.852
50%,1.132,0.905,0.988,0.99,1.065,0.805
25%,0.784,1.113,0.983,1.058,1.076,1.062
10%,0.886,1.047,1.087,1.076,1.027,0.879
5%,0.888,1.043,1.036,1.076,1.05,1.067
