Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 56220 | GridSize: 300
Generation 2 | Revalues: 62250 | GridSize: 300
Generation 3 | Revalues: 68000 | GridSize: 299
Generation 4 | Revalues: 73710 | GridSize: 300
Generation 5 | Revalues: 80360 | GridSize: 299
Generation 6 | Revalues: 83780 | GridSize: 300
Generation 7 | Revalues: 87500 | GridSize: 300
Generation 8 | Revalues: 89420 | GridSize: 300
Generation 9 | Revalues: 91380 | GridSize: 300
Generation 10 | Revalues: 93210 | GridSize: 300
Generation 11 | Revalues: 94820 | GridSize: 300
Generation 12 | Revalues: 97080 | GridSize: 299
Generation 13 | Revalues: 99090 | GridSize: 297
Generation 14 | Revalues: 100630 | GridSize: 300
Generation 15 | Revalues: 102380 | GridSize: 300
Generation 16 | Revalues: 105730 | GridSize: 300
Generation 17 | Revalues: 107670 | GridSize: 300
Generation 18 | Revalues: 110110 | GridSize: 299
Generation 19 | Revalues: 112260 | GridSize: 300
Generation 20 | Revalues: 113810 | GridSize: 300
Generation 21 | Revalues: 116170 | GridSize: 300
Generation 22 | Revalues: 118120 | GridSize: 300
Generation 23 | Revalues: 119830 | GridSize: 300
Generation 24 | Revalues: 121360 | GridSize: 300
Generation 25 | Revalues: 123240 | GridSize: 300
Generation 26 | Revalues: 124700 | GridSize: 299
Generation 27 | Revalues: 126180 | GridSize: 300
Generation 28 | Revalues: 127450 | GridSize: 300
Generation 29 | Revalues: 129050 | GridSize: 300
Generation 30 | Revalues: 130520 | GridSize: 298
Generation 31 | Revalues: 131920 | GridSize: 300
Generation 32 | Revalues: 134050 | GridSize: 299
Generation 33 | Revalues: 135920 | GridSize: 300
Generation 34 | Revalues: 137490 | GridSize: 300
Generation 35 | Revalues: 138800 | GridSize: 300
Generation 36 | Revalues: 140180 | GridSize: 300
Generation 37 | Revalues: 142030 | GridSize: 300
Generation 38 | Revalues: 143350 | GridSize: 300
Generation 39 | Revalues: 144540 | GridSize: 300
Generation 40 | Revalues: 145650 | GridSize: 300
Generation 41 | Revalues: 146970 | GridSize: 300
Generation 42 | Revalues: 148660 | GridSize: 300
Generation 43 | Revalues: 150100 | GridSize: 300
Generation 44 | Revalues: 151630 | GridSize: 300
