Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 276 | GridSize: 10
Generation 2 | Revalues: 492 | GridSize: 22
Generation 3 | Revalues: 714 | GridSize: 12
Generation 4 | Revalues: 898 | GridSize: 16
Generation 5 | Revalues: 1098 | GridSize: 17
Generation 6 | Revalues: 1310 | GridSize: 22
Generation 7 | Revalues: 1484 | GridSize: 19
Generation 8 | Revalues: 1670 | GridSize: 22
Generation 9 | Revalues: 1870 | GridSize: 34
Generation 10 | Revalues: 2066 | GridSize: 36
Generation 11 | Revalues: 2250 | GridSize: 38
Generation 12 | Revalues: 2438 | GridSize: 43
Generation 13 | Revalues: 2644 | GridSize: 41
Generation 14 | Revalues: 2870 | GridSize: 49
Generation 15 | Revalues: 3060 | GridSize: 46
Generation 16 | Revalues: 3286 | GridSize: 53
Generation 17 | Revalues: 3510 | GridSize: 55
Generation 18 | Revalues: 3710 | GridSize: 57
Generation 19 | Revalues: 3920 | GridSize: 47
Generation 20 | Revalues: 4132 | GridSize: 56
Generation 21 | Revalues: 4316 | GridSize: 63
Generation 22 | Revalues: 4520 | GridSize: 53
Generation 23 | Revalues: 4728 | GridSize: 56
Generation 24 | Revalues: 4936 | GridSize: 59
Generation 25 | Revalues: 5166 | GridSize: 63
Generation 26 | Revalues: 5346 | GridSize: 64
Generation 27 | Revalues: 5536 | GridSize: 68
Generation 28 | Revalues: 5716 | GridSize: 68
Generation 29 | Revalues: 5904 | GridSize: 73
Generation 30 | Revalues: 6098 | GridSize: 80
Generation 31 | Revalues: 6294 | GridSize: 76
Generation 32 | Revalues: 6488 | GridSize: 85
Generation 33 | Revalues: 6678 | GridSize: 84
Generation 34 | Revalues: 6854 | GridSize: 86
Generation 35 | Revalues: 7070 | GridSize: 94
Generation 36 | Revalues: 7260 | GridSize: 98
Generation 37 | Revalues: 7454 | GridSize: 102
Generation 38 | Revalues: 7652 | GridSize: 106
Generation 39 | Revalues: 7858 | GridSize: 107
Generation 40 | Revalues: 8058 | GridSize: 106
Generation 41 | Revalues: 8270 | GridSize: 107
Generation 42 | Revalues: 8474 | GridSize: 113
Generation 43 | Revalues: 8686 | GridSize: 114
Generation 44 | Revalues: 8884 | GridSize: 110
Generation 45 | Revalues: 9088 | GridSize: 117
Generation 46 | Revalues: 9290 | GridSize: 113
Generation 47 | Revalues: 9502 | GridSize: 112
Generation 48 | Revalues: 9722 | GridSize: 119
Generation 49 | Revalues: 9920 | GridSize: 114
Generation 50 | Revalues: 10118 | GridSize: 116
Generation 51 | Revalues: 10314 | GridSize: 119
Generation 52 | Revalues: 10512 | GridSize: 118
Generation 53 | Revalues: 10700 | GridSize: 123
Generation 54 | Revalues: 10896 | GridSize: 121
Generation 55 | Revalues: 11084 | GridSize: 123
Generation 56 | Revalues: 11268 | GridSize: 130
Generation 57 | Revalues: 11468 | GridSize: 119
Generation 58 | Revalues: 11668 | GridSize: 124
Generation 59 | Revalues: 11868 | GridSize: 119
Generation 60 | Revalues: 12078 | GridSize: 121
Generation 61 | Revalues: 12292 | GridSize: 124
Generation 62 | Revalues: 12500 | GridSize: 127
Generation 63 | Revalues: 12686 | GridSize: 135
Generation 64 | Revalues: 12896 | GridSize: 138
Generation 65 | Revalues: 13094 | GridSize: 130
Generation 66 | Revalues: 13304 | GridSize: 129
Generation 67 | Revalues: 13478 | GridSize: 130
Generation 68 | Revalues: 13670 | GridSize: 128
Generation 69 | Revalues: 13868 | GridSize: 132
Generation 70 | Revalues: 14064 | GridSize: 135
Generation 71 | Revalues: 14264 | GridSize: 146
Generation 72 | Revalues: 14476 | GridSize: 139
Generation 73 | Revalues: 14666 | GridSize: 142
Generation 74 | Revalues: 14860 | GridSize: 147
Generation 75 | Revalues: 15050 | GridSize: 151
Generation 76 | Revalues: 15234 | GridSize: 155
Generation 77 | Revalues: 15418 | GridSize: 160
Generation 78 | Revalues: 15632 | GridSize: 160
Generation 79 | Revalues: 15826 | GridSize: 161
Generation 80 | Revalues: 16026 | GridSize: 163
Generation 81 | Revalues: 16212 | GridSize: 159
Generation 82 | Revalues: 16418 | GridSize: 160
Generation 83 | Revalues: 16614 | GridSize: 168
Generation 84 | Revalues: 16820 | GridSize: 166
Generation 85 | Revalues: 17018 | GridSize: 164
Generation 86 | Revalues: 17232 | GridSize: 159
Generation 87 | Revalues: 17440 | GridSize: 159
Generation 88 | Revalues: 17638 | GridSize: 160
Generation 89 | Revalues: 17836 | GridSize: 162
Generation 90 | Revalues: 18040 | GridSize: 169
Generation 91 | Revalues: 18234 | GridSize: 172
Generation 92 | Revalues: 18398 | GridSize: 173
Generation 93 | Revalues: 18608 | GridSize: 175
Generation 94 | Revalues: 18796 | GridSize: 173
Generation 95 | Revalues: 18966 | GridSize: 175
Generation 96 | Revalues: 19170 | GridSize: 176
Generation 97 | Revalues: 19360 | GridSize: 176
Generation 98 | Revalues: 19556 | GridSize: 180
Generation 99 | Revalues: 19764 | GridSize: 179
