Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 322 | GridSize: 9
Generation 2 | Revalues: 562 | GridSize: 7
Generation 3 | Revalues: 780 | GridSize: 8
Generation 4 | Revalues: 1004 | GridSize: 14
Generation 5 | Revalues: 1226 | GridSize: 15
Generation 6 | Revalues: 1448 | GridSize: 15
Generation 7 | Revalues: 1700 | GridSize: 17
Generation 8 | Revalues: 1928 | GridSize: 20
Generation 9 | Revalues: 2162 | GridSize: 19
Generation 10 | Revalues: 2372 | GridSize: 15
Generation 11 | Revalues: 2598 | GridSize: 24
Generation 12 | Revalues: 2822 | GridSize: 19
Generation 13 | Revalues: 3044 | GridSize: 20
Generation 14 | Revalues: 3256 | GridSize: 23
Generation 15 | Revalues: 3478 | GridSize: 26
Generation 16 | Revalues: 3704 | GridSize: 32
Generation 17 | Revalues: 3934 | GridSize: 29
Generation 18 | Revalues: 4168 | GridSize: 29
Generation 19 | Revalues: 4386 | GridSize: 31
Generation 20 | Revalues: 4604 | GridSize: 25
Generation 21 | Revalues: 4814 | GridSize: 31
Generation 22 | Revalues: 5024 | GridSize: 25
Generation 23 | Revalues: 5258 | GridSize: 22
Generation 24 | Revalues: 5478 | GridSize: 28
Generation 25 | Revalues: 5728 | GridSize: 23
Generation 26 | Revalues: 5970 | GridSize: 25
Generation 27 | Revalues: 6182 | GridSize: 25
Generation 28 | Revalues: 6396 | GridSize: 17
Generation 29 | Revalues: 6618 | GridSize: 21
Generation 30 | Revalues: 6848 | GridSize: 27
Generation 31 | Revalues: 7068 | GridSize: 19
Generation 32 | Revalues: 7286 | GridSize: 21
Generation 33 | Revalues: 7506 | GridSize: 28
Generation 34 | Revalues: 7722 | GridSize: 26
Generation 35 | Revalues: 7912 | GridSize: 23
Generation 36 | Revalues: 8116 | GridSize: 24
Generation 37 | Revalues: 8358 | GridSize: 36
Generation 38 | Revalues: 8562 | GridSize: 26
Generation 39 | Revalues: 8808 | GridSize: 19
Generation 40 | Revalues: 9036 | GridSize: 16
Generation 41 | Revalues: 9276 | GridSize: 28
Generation 42 | Revalues: 9492 | GridSize: 26
Generation 43 | Revalues: 9690 | GridSize: 25
Generation 44 | Revalues: 9904 | GridSize: 28
Generation 45 | Revalues: 10132 | GridSize: 33
Generation 46 | Revalues: 10332 | GridSize: 32
Generation 47 | Revalues: 10566 | GridSize: 22
Generation 48 | Revalues: 10806 | GridSize: 31
Generation 49 | Revalues: 11022 | GridSize: 31
Generation 50 | Revalues: 11250 | GridSize: 25
Generation 51 | Revalues: 11492 | GridSize: 37
Generation 52 | Revalues: 11712 | GridSize: 35
Generation 53 | Revalues: 11918 | GridSize: 32
Generation 54 | Revalues: 12134 | GridSize: 39
Generation 55 | Revalues: 12346 | GridSize: 47
Generation 56 | Revalues: 12576 | GridSize: 46
Generation 57 | Revalues: 12780 | GridSize: 36
Generation 58 | Revalues: 12992 | GridSize: 41
Generation 59 | Revalues: 13214 | GridSize: 41
Generation 60 | Revalues: 13426 | GridSize: 50
Generation 61 | Revalues: 13628 | GridSize: 50
Generation 62 | Revalues: 13844 | GridSize: 44
Generation 63 | Revalues: 14068 | GridSize: 37
Generation 64 | Revalues: 14302 | GridSize: 33
Generation 65 | Revalues: 14518 | GridSize: 35
Generation 66 | Revalues: 14756 | GridSize: 38
Generation 67 | Revalues: 14974 | GridSize: 33
Generation 68 | Revalues: 15212 | GridSize: 37
Generation 69 | Revalues: 15440 | GridSize: 33
Generation 70 | Revalues: 15670 | GridSize: 34
Generation 71 | Revalues: 15886 | GridSize: 39
Generation 72 | Revalues: 16116 | GridSize: 48
Generation 73 | Revalues: 16330 | GridSize: 44
Generation 74 | Revalues: 16550 | GridSize: 46
Generation 75 | Revalues: 16762 | GridSize: 42
Generation 76 | Revalues: 17004 | GridSize: 36
Generation 77 | Revalues: 17222 | GridSize: 40
Generation 78 | Revalues: 17426 | GridSize: 34
Generation 79 | Revalues: 17638 | GridSize: 35
Generation 80 | Revalues: 17866 | GridSize: 33
Generation 81 | Revalues: 18098 | GridSize: 36
Generation 82 | Revalues: 18322 | GridSize: 38
Generation 83 | Revalues: 18514 | GridSize: 39
Generation 84 | Revalues: 18708 | GridSize: 40
Generation 85 | Revalues: 18934 | GridSize: 29
Generation 86 | Revalues: 19148 | GridSize: 35
Generation 87 | Revalues: 19354 | GridSize: 40
Generation 88 | Revalues: 19562 | GridSize: 37
Generation 89 | Revalues: 19780 | GridSize: 36
Generation 90 | Revalues: 20006 | GridSize: 40
Generation 91 | Revalues: 20212 | GridSize: 36
Generation 92 | Revalues: 20436 | GridSize: 36
Generation 93 | Revalues: 20640 | GridSize: 37
Generation 94 | Revalues: 20868 | GridSize: 38
Generation 95 | Revalues: 21088 | GridSize: 38
Generation 96 | Revalues: 21302 | GridSize: 38
Generation 97 | Revalues: 21522 | GridSize: 37
Generation 98 | Revalues: 21732 | GridSize: 29
Generation 99 | Revalues: 21952 | GridSize: 28
Generation 100 | Revalues: 22186 | GridSize: 37
Generation 101 | Revalues: 22408 | GridSize: 38
Generation 102 | Revalues: 22618 | GridSize: 38
Generation 103 | Revalues: 22852 | GridSize: 40
Generation 104 | Revalues: 23074 | GridSize: 43
Generation 105 | Revalues: 23302 | GridSize: 38
Generation 106 | Revalues: 23528 | GridSize: 35
Generation 107 | Revalues: 23748 | GridSize: 41
Generation 108 | Revalues: 23976 | GridSize: 44
Generation 109 | Revalues: 24218 | GridSize: 40
Generation 110 | Revalues: 24456 | GridSize: 34
Generation 111 | Revalues: 24682 | GridSize: 37
Generation 112 | Revalues: 24904 | GridSize: 34
Generation 113 | Revalues: 25126 | GridSize: 29
Generation 114 | Revalues: 25366 | GridSize: 30
Generation 115 | Revalues: 25586 | GridSize: 37
Generation 116 | Revalues: 25786 | GridSize: 37
Generation 117 | Revalues: 25982 | GridSize: 40
Generation 118 | Revalues: 26206 | GridSize: 33
Generation 119 | Revalues: 26422 | GridSize: 39
Generation 120 | Revalues: 26632 | GridSize: 31
Generation 121 | Revalues: 26870 | GridSize: 38
Generation 122 | Revalues: 27086 | GridSize: 48
Generation 123 | Revalues: 27308 | GridSize: 52
Generation 124 | Revalues: 27508 | GridSize: 46
Generation 125 | Revalues: 27722 | GridSize: 41
Generation 126 | Revalues: 27952 | GridSize: 42
Generation 127 | Revalues: 28172 | GridSize: 49
Generation 128 | Revalues: 28392 | GridSize: 53
Generation 129 | Revalues: 28608 | GridSize: 39
Generation 130 | Revalues: 28842 | GridSize: 37
Generation 131 | Revalues: 29078 | GridSize: 43
Generation 132 | Revalues: 29284 | GridSize: 42
Generation 133 | Revalues: 29504 | GridSize: 43
Generation 134 | Revalues: 29712 | GridSize: 40
Generation 135 | Revalues: 29914 | GridSize: 46
Generation 136 | Revalues: 30142 | GridSize: 47
Generation 137 | Revalues: 30404 | GridSize: 51
Generation 138 | Revalues: 30620 | GridSize: 44
Generation 139 | Revalues: 30814 | GridSize: 44
Generation 140 | Revalues: 31018 | GridSize: 49
Generation 141 | Revalues: 31218 | GridSize: 53
Generation 142 | Revalues: 31458 | GridSize: 58
Generation 143 | Revalues: 31666 | GridSize: 60
Generation 144 | Revalues: 31904 | GridSize: 55
Generation 145 | Revalues: 32120 | GridSize: 52
Generation 146 | Revalues: 32344 | GridSize: 57
Generation 147 | Revalues: 32560 | GridSize: 47
Generation 148 | Revalues: 32774 | GridSize: 45
Generation 149 | Revalues: 32986 | GridSize: 38
Generation 150 | Revalues: 33200 | GridSize: 45
Generation 151 | Revalues: 33408 | GridSize: 51
Generation 152 | Revalues: 33626 | GridSize: 54
Generation 153 | Revalues: 33832 | GridSize: 49
Generation 154 | Revalues: 34062 | GridSize: 60
Generation 155 | Revalues: 34266 | GridSize: 58
Generation 156 | Revalues: 34490 | GridSize: 62
Generation 157 | Revalues: 34710 | GridSize: 63
Generation 158 | Revalues: 34950 | GridSize: 61
Generation 159 | Revalues: 35154 | GridSize: 58
Generation 160 | Revalues: 35380 | GridSize: 59
Generation 161 | Revalues: 35588 | GridSize: 59
Generation 162 | Revalues: 35788 | GridSize: 54
Generation 163 | Revalues: 35968 | GridSize: 55
