r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0556530461,0.0592510668,0.0606127215,0.0540297626,0.0520919522,0.0516275822
50%,0.0563654873,0.0477424578,0.0559873045,0.0564241711,0.0502627143,0.0556297537
25%,0.0495092137,0.0502344402,0.0523235102,0.0525469053,0.0602218949,0.0536922169
10%,0.0460727111,0.0585431442,0.0465329034,0.0547909564,0.0513922075,0.0547325868
5%,0.0558365482,0.0575013259,0.0471168729,0.0519749155,0.0551743078,0.0448294595
