r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,1.00084e-05,1.07588e-05,1.19314e-05,9.2912e-06,8.9414e-06,0.0000089343
50%,9.6506e-06,6.9778e-06,9.2927e-06,1.07594e-05,7.9315e-06,0.0000096435
25%,8.2551e-06,7.9315e-06,8.9426e-06,8.5994e-06,1.11527e-05,0.0000086011
10%,6.6711e-06,1.07608e-05,6.3689e-06,8.9449e-06,8.9397e-06,0.0000096445
5%,1.07546e-05,1.07626e-05,6.6803e-06,8.2625e-06,9.6502e-06,0.0000058115
