r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0031636046,0.0032800546,0.0034541797,0.0030481411,0.0029902185,0.0029890250
50%,0.0031065457,0.0026415617,0.0030483908,0.0032801589,0.0028162934,0.0031053928
25%,0.0028731613,0.0028162885,0.0029904112,0.0029324701,0.0033395708,0.0029327697
10%,0.0025828394,0.0032803591,0.0025236704,0.0029907964,0.0029899301,0.0031055587
5%,0.0032794166,0.0032806415,0.0025846194,0.0028744492,0.0031064762,0.0024107136
