r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.9722362515,0.9693352913,0.9692529847,0.9745395724,0.9752460988,0.9790608811
50%,0.9748754539,0.9814850906,0.9731150681,0.9704344124,0.9770059267,0.9743685648
25%,0.9756808825,0.9786411915,0.9753383027,0.9752922059,0.9644564929,0.9723630296
10%,0.9834681833,0.9701607372,0.9855395326,0.9740933481,0.974648295,0.9714116088
5%,0.9685974936,0.9654841917,0.9796775573,0.9770101081,0.9716122297,0.9850434132
