r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0004699961,0.0004991488,0.0005101202,0.000456634,0.0004406004,0.0004371437
50%,0.0004751186,0.0004047128,0.0004721666,0.0004760049,0.0004253142,0.0004702481
25%,0.0004204168,0.000425187,0.0004424893,0.0004441081,0.0005063291,0.0004533191
10%,0.0003918484,0.0004931854,0.0003942834,0.0004621684,0.0004350869,0.0004630626
5%,0.0004719944,0.0004846173,0.0003992125,0.0004392401,0.000465692,0.0003800808
