,r0.05,r0.1,r0.25,r0.5,r1.0
GAP,0.13520097472962866,0.09930467871786189,0.06989082137515763,0.036342306148772575,0.0
spearman,0.1185576733005387,0.18795971484036877,0.38026976661825046,0.34132136957165327,0.4222464906200379
