r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0037144371,0.0036452122,0.0041763456,0.0038791598,0.0043064078,0.0041950332
50%,0.0041135667,0.0038045398,0.0038882848,0.0037996717,0.0038539165,0.0031052810
25%,0.0038595195,0.0040458386,0.0043302374,0.0039109428,0.0038036881,0.0038696263
10%,0.0033594871,0.0037724843,0.0034690488,0.0036948082,0.003395457,0.0035679098
5%,0.0041879343,0.0041731888,0.0037506869,0.0039133946,0.00338717,0.0033367622
