r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.0006368852,0.0006247417,0.0007898613,0.0006503283,0.0008113562,0.0007335915
50%,0.0007611996,0.0006902276,0.0006999549,0.0007358434,0.0007408998,0.0005557329
25%,0.0005982312,0.0007498768,0.0007769894,0.0008415492,0.0008171768,0.0006672412
10%,0.0005873676,0.0007144646,0.0007151175,0.0007499884,0.0007436266,0.0006318630
5%,0.00069317,0.0007865732,0.0007664305,0.000830382,0.0007656478,0.0007430631
