r,ℓ = 100,ℓ = 50,ℓ = 25,ℓ = 10,ℓ = 5,Adaptive Walk
100%,0.8664417133,0.8681124514,0.8414847924,0.883161338,0.8487747126,0.8133286066
50%,0.8321927143,0.8845660756,0.8885254374,0.8819086992,0.8421297666,0.9229421371
25%,0.8625628992,0.8649212835,0.7950788017,0.8713655311,0.8744592836,0.8538029471
10%,0.8820943965,0.8722966338,0.9027185914,0.8909111509,0.886750103,0.8628274272
5%,0.8441261058,0.8491759002,0.8676465118,0.8678895247,0.9071032161,0.9037631083
