Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 294 | GridSize: 19
Generation 2 | Revalues: 508 | GridSize: 23
Generation 3 | Revalues: 726 | GridSize: 18
Generation 4 | Revalues: 920 | GridSize: 19
Generation 5 | Revalues: 1124 | GridSize: 25
Generation 6 | Revalues: 1326 | GridSize: 28
Generation 7 | Revalues: 1556 | GridSize: 25
Generation 8 | Revalues: 1764 | GridSize: 21
Generation 9 | Revalues: 1942 | GridSize: 22
Generation 10 | Revalues: 2164 | GridSize: 29
Generation 11 | Revalues: 2364 | GridSize: 24
Generation 12 | Revalues: 2566 | GridSize: 20
Generation 13 | Revalues: 2744 | GridSize: 26
Generation 14 | Revalues: 2932 | GridSize: 24
Generation 15 | Revalues: 3140 | GridSize: 23
Generation 16 | Revalues: 3356 | GridSize: 28
Generation 17 | Revalues: 3560 | GridSize: 34
Generation 18 | Revalues: 3776 | GridSize: 39
Generation 19 | Revalues: 3962 | GridSize: 40
Generation 20 | Revalues: 4158 | GridSize: 44
Generation 21 | Revalues: 4344 | GridSize: 49
Generation 22 | Revalues: 4546 | GridSize: 52
Generation 23 | Revalues: 4764 | GridSize: 56
Generation 24 | Revalues: 4956 | GridSize: 52
Generation 25 | Revalues: 5160 | GridSize: 57
Generation 26 | Revalues: 5374 | GridSize: 59
Generation 27 | Revalues: 5568 | GridSize: 59
Generation 28 | Revalues: 5750 | GridSize: 56
Generation 29 | Revalues: 5948 | GridSize: 54
Generation 30 | Revalues: 6144 | GridSize: 58
Generation 31 | Revalues: 6350 | GridSize: 59
Generation 32 | Revalues: 6532 | GridSize: 61
Generation 33 | Revalues: 6728 | GridSize: 68
Generation 34 | Revalues: 6944 | GridSize: 70
Generation 35 | Revalues: 7140 | GridSize: 68
Generation 36 | Revalues: 7326 | GridSize: 65
Generation 37 | Revalues: 7510 | GridSize: 62
Generation 38 | Revalues: 7720 | GridSize: 61
Generation 39 | Revalues: 7910 | GridSize: 61
Generation 40 | Revalues: 8100 | GridSize: 64
Generation 41 | Revalues: 8304 | GridSize: 65
Generation 42 | Revalues: 8502 | GridSize: 65
Generation 43 | Revalues: 8712 | GridSize: 65
Generation 44 | Revalues: 8922 | GridSize: 67
Generation 45 | Revalues: 9108 | GridSize: 64
Generation 46 | Revalues: 9310 | GridSize: 53
Generation 47 | Revalues: 9498 | GridSize: 49
Generation 48 | Revalues: 9720 | GridSize: 48
Generation 49 | Revalues: 9922 | GridSize: 54
Generation 50 | Revalues: 10100 | GridSize: 50
Generation 51 | Revalues: 10294 | GridSize: 48
Generation 52 | Revalues: 10504 | GridSize: 50
Generation 53 | Revalues: 10712 | GridSize: 57
Generation 54 | Revalues: 10904 | GridSize: 60
Generation 55 | Revalues: 11110 | GridSize: 65
Generation 56 | Revalues: 11300 | GridSize: 67
Generation 57 | Revalues: 11486 | GridSize: 68
Generation 58 | Revalues: 11682 | GridSize: 64
Generation 59 | Revalues: 11890 | GridSize: 64
Generation 60 | Revalues: 12112 | GridSize: 66
Generation 61 | Revalues: 12304 | GridSize: 64
Generation 62 | Revalues: 12512 | GridSize: 67
Generation 63 | Revalues: 12738 | GridSize: 63
Generation 64 | Revalues: 12954 | GridSize: 64
Generation 65 | Revalues: 13156 | GridSize: 65
Generation 66 | Revalues: 13378 | GridSize: 67
Generation 67 | Revalues: 13578 | GridSize: 71
Generation 68 | Revalues: 13756 | GridSize: 78
Generation 69 | Revalues: 13928 | GridSize: 82
Generation 70 | Revalues: 14126 | GridSize: 82
Generation 71 | Revalues: 14332 | GridSize: 84
Generation 72 | Revalues: 14520 | GridSize: 85
Generation 73 | Revalues: 14740 | GridSize: 87
Generation 74 | Revalues: 14956 | GridSize: 78
Generation 75 | Revalues: 15138 | GridSize: 80
Generation 76 | Revalues: 15332 | GridSize: 77
Generation 77 | Revalues: 15536 | GridSize: 78
Generation 78 | Revalues: 15742 | GridSize: 78
Generation 79 | Revalues: 15950 | GridSize: 78
Generation 80 | Revalues: 16156 | GridSize: 82
Generation 81 | Revalues: 16360 | GridSize: 78
Generation 82 | Revalues: 16590 | GridSize: 80
Generation 83 | Revalues: 16812 | GridSize: 82
Generation 84 | Revalues: 17004 | GridSize: 86
Generation 85 | Revalues: 17216 | GridSize: 84
Generation 86 | Revalues: 17428 | GridSize: 81
Generation 87 | Revalues: 17618 | GridSize: 81
Generation 88 | Revalues: 17828 | GridSize: 76
Generation 89 | Revalues: 18032 | GridSize: 77
Generation 90 | Revalues: 18254 | GridSize: 73
Generation 91 | Revalues: 18472 | GridSize: 74
Generation 92 | Revalues: 18664 | GridSize: 76
Generation 93 | Revalues: 18872 | GridSize: 78
Generation 94 | Revalues: 19068 | GridSize: 79
Generation 95 | Revalues: 19260 | GridSize: 82
Generation 96 | Revalues: 19454 | GridSize: 86
Generation 97 | Revalues: 19626 | GridSize: 88
Generation 98 | Revalues: 19820 | GridSize: 88
Generation 99 | Revalues: 20010 | GridSize: 91
Generation 100 | Revalues: 20226 | GridSize: 93
Generation 101 | Revalues: 20414 | GridSize: 90
Generation 102 | Revalues: 20624 | GridSize: 91
Generation 103 | Revalues: 20850 | GridSize: 88
Generation 104 | Revalues: 21050 | GridSize: 88
Generation 105 | Revalues: 21258 | GridSize: 88
Generation 106 | Revalues: 21434 | GridSize: 89
Generation 107 | Revalues: 21644 | GridSize: 86
Generation 108 | Revalues: 21844 | GridSize: 82
Generation 109 | Revalues: 22038 | GridSize: 84
Generation 110 | Revalues: 22232 | GridSize: 85
Generation 111 | Revalues: 22424 | GridSize: 83
Generation 112 | Revalues: 22634 | GridSize: 87
Generation 113 | Revalues: 22800 | GridSize: 84
Generation 114 | Revalues: 23022 | GridSize: 79
Generation 115 | Revalues: 23232 | GridSize: 83
Generation 116 | Revalues: 23446 | GridSize: 83
Generation 117 | Revalues: 23640 | GridSize: 82
Generation 118 | Revalues: 23834 | GridSize: 82
Generation 119 | Revalues: 24042 | GridSize: 78
Generation 120 | Revalues: 24244 | GridSize: 78
Generation 121 | Revalues: 24454 | GridSize: 80
Generation 122 | Revalues: 24662 | GridSize: 81
Generation 123 | Revalues: 24884 | GridSize: 83
Generation 124 | Revalues: 25080 | GridSize: 85
Generation 125 | Revalues: 25300 | GridSize: 89
Generation 126 | Revalues: 25498 | GridSize: 89
Generation 127 | Revalues: 25690 | GridSize: 92
Generation 128 | Revalues: 25874 | GridSize: 89
Generation 129 | Revalues: 26082 | GridSize: 91
Generation 130 | Revalues: 26286 | GridSize: 90
Generation 131 | Revalues: 26472 | GridSize: 91
